Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
69,-68,-1565,3352,-3858,-3535,1529,4120,-7440,-6605,3495,-6047,-1153,-2917,3133,-6414,disgust
69,-68,-1565,3352,-3858,-3535,1529,4120,-7440,-6605,3495,-6047,-1153,-2917,3133,-6414,disgust
-20,-98,2780,-6794,2679,1989,4503,-3631,4813,4316,3181,60,8179,8078,4829,2677,disgust
-20,-98,2780,-6794,2679,1989,4503,-3631,4813,4316,3181,60,8179,8078,4829,2677,disgust
-66,112,-5873,1590,3920,4296,-1968,-1014,3129,-1055,3835,-5371,86,3399,-4239,-69,disgust
-66,112,-5873,1590,3920,4296,-1968,-1014,3129,-1055,3835,-5371,86,3399,-4239,-69,disgust
68,7,-736,6264,5860,2368,-1585,293,-876,-656,357,-5524,7283,-7762,-4714,-1914,disgust
68,7,-736,6264,5860,2368,-1585,293,-876,-656,357,-5524,7283,-7762,-4714,-1914,disgust
-25,8,-7585,-7952,-3407,2128,-3330,5189,454,-294,-2333,6103,7106,-4259,-1927,-5143,disgust
-25,8,-7585,-7952,-3407,2128,-3330,5189,454,-294,-2333,6103,7106,-4259,-1927,-5143,disgust
-37,122,3535,-3130,-3108,-6813,2342,7538,-968,-7783,-4578,266,81,-3152,-5158,-1416,disgust
-37,122,3535,-3130,-3108,-6813,2342,7538,-968,-7783,-4578,266,81,-3152,-5158,-1416,disgust
-53,129,-1470,6055,-3858,6981,-8101,1416,-3960,3023,7598,2906,-3609,-6175,-3813,936,disgust
-53,129,-1470,6055,-3858,6981,-8101,1416,-3960,3023,7598,2906,-3609,-6175,-3813,936,disgust
-34,131,-85,7039,-2473,5553,6247,6127,-6896,239,-7733,-2313,3225,3580,1727,201,disgust
-34,131,-85,7039,-2473,5553,6247,6127,-6896,239,-7733,-2313,3225,3580,1727,201,disgust
-38,55,-2766,4005,2749,3612,2733,7213,-4104,-530,5323,1347,2671,6525,-5529,-7179,disgust
-38,55,-2766,4005,2749,3612,2733,7213,-4104,-530,5323,1347,2671,6525,-5529,-7179,disgust
9,132,1578,6724,-6064,5374,-5672,7176,-3806,-6006,2717,-5973,-6571,7568,3643,6650,disgust
9,132,1578,6724,-6064,5374,-5672,7176,-3806,-6006,2717,-5973,-6571,7568,3643,6650,disgust
64,70,-6456,-6275,-8031,-2504,-370,3209,2226,-3810,-2006,2314,2823,5703,-5099,-6759,disgust
64,70,-6456,-6275,-8031,-2504,-370,3209,2226,-3810,-2006,2314,2823,5703,-5099,-6759,disgust
-84,25,-6093,-102,1099,6482,-2300,1346,6376,-5255,7631,-521,5511,-1025,4372,-3157,disgust
-84,25,-6093,-102,1099,6482,-2300,1346,6376,-5255,7631,-521,5511,-1025,4372,-3157,disgust
123,-2,6263,7320,3478,7582,3118,1243,-6711,-2962,-60,5909,2277,6549,4354,-5754,disgust
123,-2,6263,7320,3478,7582,3118,1243,-6711,-2962,-60,5909,2277,6549,4354,-5754,disgust
-95,143,-6157,581,7482,-545,-7718,-102,-1489,2843,-4559,956,-5288,8173,6617,-1613,disgust
-95,143,-6157,581,7482,-545,-7718,-102,-1489,2843,-4559,956,-5288,8173,6617,-1613,disgust
106,-33,977,3441,3969,884,-3681,3117,-7247,6520,-4058,1158,2420,-2535,-3572,-4806,disgust
106,-33,977,3441,3969,884,-3681,3117,-7247,6520,-4058,1158,2420,-2535,-3572,-4806,disgust
81,-66,3467,3776,-6822,3048,-3444,3556,5084,-1871,4,-6123,4910,-1207,-4462,272,disgust
81,-66,3467,3776,-6822,3048,-3444,3556,5084,-1871,4,-6123,4910,-1207,-4462,272,disgust
24,-50,6968,956,2341,-1945,-5005,1181,5975,-3856,-356,-5682,-1091,-3406,-6664,3371,disgust
24,-50,6968,956,2341,-1945,-5005,1181,5975,-3856,-356,-5682,-1091,-3406,-6664,3371,disgust
41,1,-5879,4949,-209,-3363,7448,5011,3547,-2539,7166,-282,1637,-1043,-6326,764,disgust
41,1,-5879,4949,-209,-3363,7448,5011,3547,-2539,7166,-282,1637,-1043,-6326,764,disgust
-1,-79,-7095,-7547,2450,-6838,3704,683,7371,-7868,-3626,-5674,-3121,6268,-7937,7773,disgust
-1,-79,-7095,-7547,2450,-6838,3704,683,7371,-7868,-3626,-5674,-3121,6268,-7937,7773,disgust
10,-93,4908,-160,-5544,-6182,-3082,1049,-7677,-286,6021,-3752,-1299,-289,6730,4481,disgust
10,-93,4908,-160,-5544,-6182,-3082,1049,-7677,-286,6021,-3752,-1299,-289,6730,4481,disgust
88,-82,6934,-1930,-7939,-6650,1579,-54,7480,-1535,-232,-914,8124,782,810,2408,disgust
88,-82,6934,-1930,-7939,-6650,1579,-54,7480,-1535,-232,-914,8124,782,810,2408,disgust
26,119,-3381,7142,-807,4048,-5474,-5447,-5682,6810,1834,-6969,-1107,530,-2959,-4442,disgust
26,119,-3381,7142,-807,4048,-5474,-5447,-5682,6810,1834,-6969,-1107,530,-2959,-4442,disgust
2,79,2415,4418,-4586,5137,-6269,-3729,-7755,6006,-6572,-4875,1417,-6400,948,-4141,disgust
2,79,2415,4418,-4586,5137,-6269,-3729,-7755,6006,-6572,-4875,1417,-6400,948,-4141,disgust
-15,-36,1467,2284,-5721,163,-5581,-6313,1127,5292,-915,-7162,6285,-3381,4211,-1495,disgust
-15,-36,1467,2284,-5721,163,-5581,-6313,1127,5292,-915,-7162,6285,-3381,4211,-1495,disgust
-55,69,232,-1513,2136,-1173,-6930,1417,-3725,-251,5468,-4076,858,-729,-4976,7641,disgust
-55,69,232,-1513,2136,-1173,-6930,1417,-3725,-251,5468,-4076,858,-729,-4976,7641,disgust
-3,-3,-6454,4678,-2115,-1540,5387,-3910,3108,1621,7326,-8134,-7908,494,-7919,-7182,disgust
-3,-3,-6454,4678,-2115,-1540,5387,-3910,3108,1621,7326,-8134,-7908,494,-7919,-7182,disgust
-22,60,-5197,2984,716,-106,-4424,-1703,2791,-7650,-7709,-895,7704,3030,5278,900,disgust
