Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
-31,31,2000,-1089,-1673,2131,-3939,3964,6533,-1981,-3068,-2956,467,1697,-7380,2213,happy
-31,31,2000,-1089,-1673,2131,-3939,3964,6533,-1981,-3068,-2956,467,1697,-7380,2213,happy
6,93,5990,6274,5094,7270,-6919,6866,-1218,4391,1089,2829,-1669,-5966,-2686,7855,happy
6,93,5990,6274,5094,7270,-6919,6866,-1218,4391,1089,2829,-1669,-5966,-2686,7855,happy
38,-80,-3336,6255,6942,-7652,5175,5293,5818,4925,-993,-4732,-3656,-6103,4865,1144,happy
38,-80,-3336,6255,6942,-7652,5175,5293,5818,4925,-993,-4732,-3656,-6103,4865,1144,happy
-50,-86,-7890,-1044,-5601,6927,-6115,1902,2678,2679,1979,5798,6223,-7065,-1588,-4699,happy
-50,-86,-7890,-1044,-5601,6927,-6115,1902,2678,2679,1979,5798,6223,-7065,-1588,-4699,happy
115,-18,141,6968,-6898,-6808,5793,6479,686,-4727,-1737,4894,8119,3589,-4813,-4066,happy
115,-18,141,6968,-6898,-6808,5793,6479,686,-4727,-1737,4894,8119,3589,-4813,-4066,happy
115,-18,-1805,6968,7130,-6808,6591,6479,4493,-4727,617,4894,8119,3589,-3457,-2876,happy
115,-18,-1805,6968,7130,-6808,6591,6479,4493,-4727,617,4894,8119,3589,-3457,-2876,happy
111,37,1868,1665,1939,1534,2576,-5301,-6379,-7772,-4802,-1647,-5215,-494,3036,3574,happy
111,37,1868,1665,1939,1534,2576,-5301,-6379,-7772,-4802,-1647,-5215,-494,3036,3574,happy
64,16,5693,941,2007,8091,3228,6379,-6064,-2332,2866,-3124,-1256,1912,5502,2023,happy
64,16,5693,941,2007,8091,3228,6379,-6064,-2332,2866,-3124,-1256,1912,5502,2023,happy
-67,104,6567,1496,-8027,596,-7187,768,-7807,-7607,-5469,3902,5282,-4209,3123,-248,happy
-67,104,6567,1496,-8027,596,-7187,768,-7807,-7607,-5469,3902,5282,-4209,3123,-248,happy
68,131,1242,171,-645,6952,-867,-7377,-6269,-6683,5435,-3867,2404,-1702,-3239,177,happy
68,131,1242,171,-645,6952,-867,-7377,-6269,-6683,5435,-3867,2404,-1702,-3239,177,happy
-103,89,924,-4635,6838,1035,-7295,6682,1423,1684,-7812,-1209,-7200,-8134,7055,255,happy
-103,89,924,-4635,6838,1035,-7295,6682,1423,1684,-7812,-1209,-7200,-8134,7055,255,happy
-81,-91,-3057,-7,-3627,-897,-6319,5280,-3368,4594,4737,388,-176,-6333,4000,-5690,happy
-81,-91,-3057,-7,-3627,-897,-6319,5280,-3368,4594,4737,388,-176,-6333,4000,-5690,happy
-62,-93,-2674,7200,-7994,-629,-3805,951,-2473,-6526,1646,810,2554,3485,7519,3258,happy
-62,-93,-2674,7200,-7994,-629,-3805,951,-2473,-6526,1646,810,2554,3485,7519,3258,happy
-25,-16,7238,6200,-2320,90,1961,-3122,6630,6820,5739,-5923,260,6806,-1652,-3358,happy
-25,-16,7238,6200,-2320,90,1961,-3122,6630,6820,5739,-5923,260,6806,-1652,-3358,happy
-62,-71,-2091,-4310,-6637,4785,7326,6183,6465,7551,-6296,-2580,-6679,-6934,2604,7513,happy
-62,-71,-2091,-4310,-6637,4785,7326,6183,6465,7551,-6296,-2580,-6679,-6934,2604,7513,happy
62,-38,4089,-7416,-3903,5453,5378,7642,4753,5230,-2571,6041,-1049,1114,2210,-311,happy
62,-38,4089,-7416,-3903,5453,5378,7642,4753,5230,-2571,6041,-1049,1114,2210,-311,happy
40,-82,7704,6148,5471,-1319,-2106,6234,4669,5305,7188,-5623,6507,-2830,6857,6661,happy
40,-82,7704,6148,5471,-1319,-2106,6234,4669,5305,7188,-5623,6507,-2830,6857,6661,happy
61,95,-903,477,3520,5110,2126,7981,-7586,4983,2840,902,-7435,855,-718,-5342,happy
61,95,-903,477,3520,5110,2126,7981,-7586,4983,2840,902,-7435,855,-718,-5342,happy
18,92,-5724,-7232,-3081,-5393,-5007,2191,-5621,-3030,-4433,7700,-4007,3088,2775,-518,happy
18,92,-5724,-7232,-3081,-5393,-5007,2191,-5621,-3030,-4433,7700,-4007,3088,2775,-518,happy
125,49,-1728,2377,-6034,-519,2405,-746,-5851,926,-6445,3879,-1035,2765,3902,7445,happy
125,49,-1728,2377,-6034,-519,2405,-746,-5851,926,-6445,3879,-1035,2765,3902,7445,happy
-9,148,-4726,-622,-6715,-7327,5390,216,2655,-6727,4998,-3094,7641,-7268,4510,3900,happy
-9,148,-4726,-622,-6715,-7327,5390,216,2655,-6727,4998,-3094,7641,-7268,4510,3900,happy
-81,-100,-1468,-3528,-7429,-3520,5170,6541,-6034,-4105,-2727,-5325,7789,-4272,305,-3789,happy
-81,-100,-1468,-3528,-7429,-3520,5170,6541,-6034,-4105,-2727,-5325,7789,-4272,305,-3789,happy
77,77,151,762,2038,-1127,-1583,3754,-1471,-2807,-1323,-1329,4533,-1835,-4596,-5942,happy
77,77,151,762,2038,-1127,-1583,3754,-1471,-2807,-1323,-1329,4533,-1835,-4596,-5942,happy
103,-19,179,3202,-4920,2938,-4834,-325,-4274,7932,-4160,-4694,5794,650,749,-2962,happy
