Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
82,35,2837,-332,-1019,6312,-7838,7335,-4392,-392,320,658,-3755,2103,1856,-5195,disgust
82,35,2837,-332,-1019,6312,-7838,7335,-4392,-392,320,658,-3755,2103,1856,-5195,disgust
14,-40,970,808,-2108,-3584,3005,-5463,-3743,-977,6963,-6632,-3081,-6786,-6360,2439,disgust
14,-40,970,808,-2108,-3584,3005,-5463,-3743,-977,6963,-6632,-3081,-6786,-6360,2439,disgust
3,125,5639,-5763,221,874,830,5093,-2413,5024,-7195,-1497,2398,-537,-5316,4115,disgust
3,125,5639,-5763,221,874,830,5093,-2413,5024,-7195,-1497,2398,-537,-5316,4115,disgust
-91,104,6925,-388,-1242,6789,3290,-6775,-7067,-6979,-2481,-3925,4106,-3901,-3876,-1493,disgust
-91,104,6925,-388,-1242,6789,3290,-6775,-7067,-6979,-2481,-3925,4106,-3901,-3876,-1493,disgust
-6,133,-7596,-3510,-722,-3690,-2154,-7731,-2916,-804,1477,-5917,-2092,-777,-3612,1757,disgust
-6,133,-7596,-3510,-722,-3690,-2154,-7731,-2916,-804,1477,-5917,-2092,-777,-3612,1757,disgust
137,96,7958,686,-1982,7254,4979,-2018,7713,3146,-173,1073,6938,1799,3972,1507,disgust
137,96,7958,686,-1982,7254,4979,-2018,7713,3146,-173,1073,6938,1799,3972,1507,disgust
-63,80,-3446,4332,-4726,-6264,-5664,-1113,-223,-2929,-6785,6379,-5643,-7936,3421,7173,disgust
-63,80,-3446,4332,-4726,-6264,-5664,-1113,-223,-2929,-6785,6379,-5643,-7936,3421,7173,disgust
-19,61,4821,-2093,3483,1001,-1512,2317,7862,-1094,7798,-3886,-4,6759,5561,-4344,disgust
-19,61,4821,-2093,3483,1001,-1512,2317,7862,-1094,7798,-3886,-4,6759,5561,-4344,disgust
-63,98,-6267,-7695,3046,3939,3217,3477,1131,3445,-4255,6329,7550,5255,3030,-2341,disgust
-63,98,-6267,-7695,3046,3939,3217,3477,1131,3445,-4255,6329,7550,5255,3030,-2341,disgust
71,82,6944,-1327,4845,6886,-5739,4855,3683,-7696,979,-2717,-3510,1032,1700,4744,disgust
71,82,6944,-1327,4845,6886,-5739,4855,3683,-7696,979,-2717,-3510,1032,1700,4744,disgust
-53,-11,-6606,-2226,-3707,845,-1323,4015,6756,-7873,2276,3217,-5455,4663,-7459,2495,disgust
-53,-11,-6606,-2226,-3707,845,-1323,4015,6756,-7873,2276,3217,-5455,4663,-7459,2495,disgust
-67,125,-3179,2015,1712,7950,64,-2509,-6474,-7228,6563,-4076,-3707,-5245,8152,-6301,disgust
-67,125,-3179,2015,1712,7950,64,-2509,-6474,-7228,6563,-4076,-3707,-5245,8152,-6301,disgust
65,136,-1814,-7599,1813,6902,-3720,-368,-2747,-391,3624,1508,6781,4065,-2169,-3823,disgust
65,136,-1814,-7599,1813,6902,-3720,-368,-2747,-391,3624,1508,6781,4065,-2169,-3823,disgust
-31,50,-3899,2940,4785,3196,1488,4608,2766,7143,-7690,-1131,-7487,4763,3412,-6932,disgust
-31,50,-3899,2940,4785,3196,1488,4608,2766,7143,-7690,-1131,-7487,4763,3412,-6932,disgust
126,-43,7793,7601,638,2946,5755,-6867,-4544,-4884,8053,5344,5229,-7752,2497,-1917,disgust
126,-43,7793,7601,638,2946,5755,-6867,-4544,-4884,8053,5344,5229,-7752,2497,-1917,disgust
-91,84,-4552,5968,-4490,3379,-1075,5397,7196,954,-1808,-3321,-7728,-898,7079,-5832,disgust
-91,84,-4552,5968,-4490,3379,-1075,5397,7196,954,-1808,-3321,-7728,-898,7079,-5832,disgust
30,-22,-1581,966,4709,4206,4309,-7589,7327,2796,2885,2744,1100,-1899,1289,-5051,disgust
30,-22,-1581,966,4709,4206,4309,-7589,7327,2796,2885,2744,1100,-1899,1289,-5051,disgust
-21,-87,-1053,3492,-5655,7156,4853,-5947,-6662,4555,-4120,-5331,-846,-7899,-2244,-7539,disgust
-21,-87,-1053,3492,-5655,7156,4853,-5947,-6662,4555,-4120,-5331,-846,-7899,-2244,-7539,disgust
-33,108,1666,345,8005,-4008,-5932,-7995,4510,-3571,6792,6815,5379,3885,1741,2921,disgust
-33,108,1666,345,8005,-4008,-5932,-7995,4510,-3571,6792,6815,5379,3885,1741,2921,disgust
72,147,6772,2768,400,-2859,5843,-1475,-978,-5373,-7798,-1676,-2791,-7633,-1999,-3180,disgust
72,147,6772,2768,400,-2859,5843,-1475,-978,-5373,-7798,-1676,-2791,-7633,-1999,-3180,disgust
-87,9,-926,452,-561,4665,-3350,-6358,2509,-7545,-6795,-1663,-1437,8028,-6221,5808,disgust
-87,9,-926,452,-561,4665,-3350,-6358,2509,-7545,-6795,-1663,-1437,8028,-6221,5808,disgust
-68,32,7388,-5283,-3812,-1495,-2470,-4542,-3519,-6029,-4545,-1296,970,4874,-1328,2776,disgust
-68,32,7388,-5283,-3812,-1495,-2470,-4542,-3519,-6029,-4545,-1296,970,4874,-1328,2776,disgust
-92,122,-7569,-3412,-8006,-3447,-6204,4943,-1922,-2912,7671,8058,-6366,-1272,-1232,6806,disgust
-92,122,-7569,-3412,-8006,-3447,-6204,4943,-1922,-2912,7671,8058,-6366,-1272,-1232,6806,disgust
129,46,6115,6008,-7858,-862,481,736,5379,-5690,-5886,-4700,-6798,-5935,5199,4229,disgust
129,46,6115,6008,-7858,-862,481,736,5379,-5690,-5886,-4700,-6798,-5935,5199,4229,disgust
18,-93,5341,89,-6495,1663,3903,-4499,7499,7147,6139,7776,-6301,1018,484,-7427,disgust
18,-93,5341,89,-6495,1663,3903,-4499,7499,7147,6139,7776,-6301,1018,484,-7427,disgust
112,41,-3971,-701,-3875,4993,-1464,1473,7195,5701,3269,7627,6365,3176,6620,-8126,disgust
112,41,-3971,-701,-3875,4993,-1464,1473,7195,5701,3269,7627,6365,3176,6620,-8126,disgust
94,-20,1073,7728,-7996,5320,3468,-5976,3252,4286,-517,208,6932,7483,4634,7375,disgust
94,-20,1073,7728,-7996,5320,3468,-5976,3252,4286,-517,208,6932,7483,4634,7375,disgust
48,51,-3159,-3762,5591,7744,-2267,-1604,1924,1737,-5820,-396,-297,-5458,-2926,3765,disgust
48,51,-3159,-3762,5591,7744,-2267,-1604,1924,1737,-5820,-396,-297,-5458,-2926,3765,disgust
-96,23,228,6657,5596,-504,5789,-3211,-5935,319,6341,-2353,6667,4697,6764,-92,disgust
-96,23,228,6657,5596,-504,5789,-3211,-5935,319,6341,-2353,6667,4697,6764,-92,disgust
4,-86,6560,-3991,844,4206,3199,-6711,-4240,6867,-6868,6661,464,5008,-3286,1971,disgust
4,-86,6560,-3991,844,4206,3199,-6711,-4240,6867,-6868,6661,464,5008,-3286,1971,disgust
22,-72,-1694,-5058,-6428,8040,7412,2972,4929,-7075,6522,4861,6529,103,4384,2870,disgust
22,-72,-1694,-5058,-6428,8040,7412,2972,4929,-7075,6522,4861,6529,103,4384,2870,disgust
122,119,-2137,-6321,3043,-6180,-3795,2197,-7095,5461,8079,-6806,214,3985,-4377,200,disgust
122,119,-2137,-6321,3043,-6180,-3795,2197,-7095,5461,8079,-6806,214,3985,-4377,200,disgust
33,142,8141,6718,-854,957,-6998,7147,-6275,-7214,3775,5868,-3135,4716,-7336,-8147,disgust
