Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
123,-84,4669,-1724,8178,5049,-7565,3080,4921,530,974,2668,6272,-6310,5638,1907,happy
123,-84,4669,-1724,8178,5049,-7565,3080,4921,530,974,2668,6272,-6310,5638,1907,happy
-35,50,-1803,5000,-1204,-2683,-2802,1669,474,1236,-5409,8084,-207,3117,-7256,-4425,happy
-35,50,-1803,5000,-1204,-2683,-2802,1669,474,1236,-5409,8084,-207,3117,-7256,-4425,happy
136,67,5295,1306,831,7191,4644,-2421,3275,5859,-5673,3192,3750,2967,-1639,8022,happy
136,67,5295,1306,831,7191,4644,-2421,3275,5859,-5673,3192,3750,2967,-1639,8022,happy
64,-75,-3558,-7693,4183,4341,8156,-6464,4651,6955,6298,6592,5211,7536,-1770,-5053,happy
64,-75,-3558,-7693,4183,4341,8156,-6464,4651,6955,6298,6592,5211,7536,-1770,-5053,happy
41,29,-496,-6520,-2653,7537,7501,5547,-4120,3501,7280,1533,161,3610,-2011,6043,happy
41,29,-496,-6520,-2653,7537,7501,5547,-4120,3501,7280,1533,161,3610,-2011,6043,happy
-79,109,-1156,7774,1082,561,7233,4229,6502,8069,5440,186,1921,-3423,-1384,5068,happy
-79,109,-1156,7774,1082,561,7233,4229,6502,8069,5440,186,1921,-3423,-1384,5068,happy
121,138,6306,-5444,-5931,-6745,3025,1462,7503,6445,-2866,-993,8009,1208,-6288,2759,happy
121,138,6306,-5444,-5931,-6745,3025,1462,7503,6445,-2866,-993,8009,1208,-6288,2759,happy
150,-64,-827,-2686,-4043,7678,-7542,2086,-7712,-6258,-7102,-3629,-5893,-3789,651,7556,happy
150,-64,-827,-2686,-4043,7678,-7542,2086,-7712,-6258,-7102,-3629,-5893,-3789,651,7556,happy
87,48,-1040,325,7703,-2384,-5544,1643,-26,-2351,-1390,1052,-1764,-4675,2769,-3098,happy
87,48,-1040,325,7703,-2384,-5544,1643,-26,-2351,-1390,1052,-1764,-4675,2769,-3098,happy
70,6,-4688,-5976,-301,1793,7352,5357,1512,-5214,-7152,6354,-5593,-5476,1691,-484,happy
70,6,-4688,-5976,-301,1793,7352,5357,1512,-5214,-7152,6354,-5593,-5476,1691,-484,happy
15,102,-1069,3233,-969,5093,-5769,-6079,742,6111,-7425,-2433,6948,-4893,4461,7084,happy
15,102,-1069,3233,-969,5093,-5769,-6079,742,6111,-7425,-2433,6948,-4893,4461,7084,happy
-65,-14,-1602,-5272,7838,3165,-2938,-995,2043,-352,-1435,-4369,2412,-6876,-4721,-3142,happy
-65,-14,-1602,-5272,7838,3165,-2938,-995,2043,-352,-1435,-4369,2412,-6876,-4721,-3142,happy
-91,46,4443,-5090,-2536,-2816,-1589,4193,1163,-6579,3397,-2820,5458,7237,-996,3302,happy
-91,46,4443,-5090,-2536,-2816,-1589,4193,1163,-6579,3397,-2820,5458,7237,-996,3302,happy
130,132,2421,-6443,4381,-2350,-3904,-4374,-7083,-2468,-2397,-1863,-8183,970,2569,-5525,happy
130,132,2421,-6443,4381,-2350,-3904,-4374,-7083,-2468,-2397,-1863,-8183,970,2569,-5525,happy
72,149,-257,-6843,-3358,7396,8003,-8063,260,5641,3301,5082,-6401,7838,-5257,6053,happy
72,149,-257,-6843,-3358,7396,8003,-8063,260,5641,3301,5082,-6401,7838,-5257,6053,happy
-80,-93,4397,-2014,-3680,3199,7968,5902,2022,4163,-4298,-1378,7728,-7456,7775,-5760,happy
-80,-93,4397,-2014,-3680,3199,7968,5902,2022,4163,-4298,-1378,7728,-7456,7775,-5760,happy
-15,51,1156,7266,5980,-7378,-6554,8156,6125,6177,7569,1116,2750,3371,587,-2452,happy
-15,51,1156,7266,5980,-7378,-6554,8156,6125,6177,7569,1116,2750,3371,587,-2452,happy
135,122,-365,7415,7104,4271,-1361,-2788,-659,-4116,6008,-2923,-1658,-6060,-2992,-1757,happy
