Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
74,-80,5540,5469,3490,-7356,-183,-5468,2310,5698,5363,2283,-2151,8115,-840,452,Neutral
74,-80,5540,5469,3490,-7356,-183,-5468,2310,5698,5363,2283,-2151,8115,-840,452,Neutral
21,-16,-1776,-7966,3010,-285,5228,1554,7343,-7167,-1463,-5004,-5640,1452,2227,2213,Neutral
21,-16,-1776,-7966,3010,-285,5228,1554,7343,-7167,-1463,-5004,-5640,1452,2227,2213,Neutral
83,39,-3830,-1675,-4352,-2957,-1299,5310,4099,-8188,-6827,-6996,-2240,7593,-5205,-303,Neutral
83,39,-3830,-1675,-4352,-2957,-1299,5310,4099,-8188,-6827,-6996,-2240,7593,-5205,-303,Neutral
139,-99,7285,-4245,228,323,-5236,2721,695,-7700,5406,-491,534,3710,2666,-3978,Neutral
139,-99,7285,-4245,228,323,-5236,2721,695,-7700,5406,-491,534,3710,2666,-3978,Neutral
123,98,-2653,-30,2898,-3965,1260,5271,-731,-4688,4876,-7770,7569,2346,6619,5300,Neutral
123,98,-2653,-30,2898,-3965,1260,5271,-731,-4688,4876,-7770,7569,2346,6619,5300,Neutral
69,40,-7499,5902,3779,1019,-6499,4917,3705,1002,5324,-7821,-7035,-3515,-6124,-4476,Neutral
69,40,-7499,5902,3779,1019,-6499,4917,3705,1002,5324,-7821,-7035,-3515,-6124,-4476,Neutral
44,-79,-3841,-4319,-579,-6612,-6382,5396,-7268,-2828,-6192,6829,5995,2316,5937,-5093,Neutral
44,-79,-3841,-4319,-579,-6612,-6382,5396,-7268,-2828,-6192,6829,5995,2316,5937,-5093,Neutral
-10,57,-7013,511,-2765,1001,6952,-4898,3539,-1734,-5424,11,-5382,-269,-301,1683,Neutral
-10,57,-7013,511,-2765,1001,6952,-4898,3539,-1734,-5424,11,-5382,-269,-301,1683,Neutral
52,-8,-3175,4360,434,-2208,2734,1138,3233,-4232,2903,-4668,-1207,-1957,6426,-3100,Neutral
52,-8,-3175,4360,434,-2208,2734,1138,3233,-4232,2903,-4668,-1207,-1957,6426,-3100,Neutral
45,47,-5238,-6100,-5441,8016,4524,4775,-8039,32,6936,5144,-909,4215,6585,-6340,Neutral
45,47,-5238,-6100,-5441,8016,4524,4775,-8039,32,6936,5144,-909,4215,6585,-6340,Neutral
-30,4,7157,2773,-6082,-4482,-3684,-1892,2225,886,4278,-568,5164,-16,6337,-3833,Neutral
-30,4,7157,2773,-6082,-4482,-3684,-1892,2225,886,4278,-568,5164,-16,6337,-3833,Neutral
-85,-25,-92,-6775,4992,569,3801,-1845,4504,6968,4560,3037,3190,-6938,1156,452,Neutral
-85,-25,-92,-6775,4992,569,3801,-1845,4504,6968,4560,3037,3190,-6938,1156,452,Neutral
146,109,-6795,5350,-729,-1992,4808,7366,5200,2396,-58,-4748,-3863,176,4149,-3195,Neutral
146,109,-6795,5350,-729,-1992,4808,7366,5200,2396,-58,-4748,-3863,176,4149,-3195,Neutral
-13,144,-8046,-6344,4543,-7187,4314,2169,-192,2141,2250,4008,-3636,-6132,4830,5021,Neutral
-13,144,-8046,-6344,4543,-7187,4314,2169,-192,2141,2250,4008,-3636,-6132,4830,5021,Neutral
106,100,-3495,-178,6614,-6952,4752,64,4986,-3317,1567,-7210,4687,4444,-6394,6626,Neutral
106,100,-3495,-178,6614,-6952,4752,64,4986,-3317,1567,-7210,4687,4444,-6394,6626,Neutral
-8,147,114,-7311,1628,6655,-3694,-3646,-6871,-2746,-5072,-7014,7963,1195,1219,763,Neutral
-8,147,114,-7311,1628,6655,-3694,-3646,-6871,-2746,-5072,-7014,7963,1195,1219,763,Neutral
142,39,488,8081,8153,-1473,6670,343,-5482,5221,-6028,-528,827,-4327,8139,2526,Neutral
142,39,488,8081,8153,-1473,6670,343,-5482,5221,-6028,-528,827,-4327,8139,2526,Neutral
74,81,3866,-2134,7117,1186,7398,-238,3096,3908,-6580,220,3280,2855,-8014,-4094,Neutral
74,81,3866,-2134,7117,1186,7398,-238,3096,3908,-6580,220,3280,2855,-8014,-4094,Neutral
-11,125,-2528,3236,5817,-4947,3138,-1183,7049,-1789,-5128,6360,-2172,3675,-1175,3288,Neutral
-11,125,-2528,3236,5817,-4947,3138,-1183,7049,-1789,-5128,6360,-2172,3675,-1175,3288,Neutral
-71,140,-1506,-5088,7643,-761,-6531,-4350,-267,-6154,348,-3135,7391,5077,-7691,-3965,Neutral
-71,140,-1506,-5088,7643,-761,-6531,-4350,-267,-6154,348,-3135,7391,5077,-7691,-3965,Neutral
58,101,4821,-1909,5504,6500,-5660,-178,-7308,-6641,7382,-5326,-1563,-6110,1687,-2418,Neutral
132,49,-6807,7802,82,5814,-1767,-7618,-673,-1014,-2480,3228,4677,5817,-2433,-3113,scared
132,49,-6807,7802,82,5814,-1767,-7618,-673,-1014,-2480,3228,4677,5817,-2433,-3113,scared
13,91,-2094,-4919,3119,-5993,2150,6772,-7990,-3563,4454,-6116,-2717,3481,7973,-5253,scared
13,91,-2094,-4919,3119,-5993,2150,6772,-7990,-3563,4454,-6116,-2717,3481,7973,-5253,scared
-98,132,1555,-6562,-5461,7562,-3466,-673,1013,6520,-7988,-296,-1632,6258,3078,-3946,scared
-98,132,1555,-6562,-5461,7562,-3466,-673,1013,6520,-7988,-296,-1632,6258,3078,-3946,scared
-42,-99,625,-1933,4865,5145,-924,1475,-2191,4543,2737,-5801,-5345,-450,4664,-6720,scared
-42,-99,625,-1933,4865,5145,-924,1475,-2191,4543,2737,-5801,-5345,-450,4664,-6720,scared
-94,-49,6466,-4298,-7064,-7018,-3176,6223,948,-6228,-2042,-3809,3634,-5314,-566,4189,scared
-94,-49,6466,-4298,-7064,-7018,-3176,6223,948,-6228,-2042,-3809,3634,-5314,-566,4189,scared
-22,128,7583,-419,7466,545,-101,-5648,-7886,2047,-986,-1177,-6,6376,-6525,-709,scared
