Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
63,-53,-4577,4407,-4063,-7020,-4868,-947,5688,-6830,-7934,-612,6280,-5283,4558,-5188,scared
63,-53,-4577,4407,-4063,-7020,-4868,-947,5688,-6830,-7934,-612,6280,-5283,4558,-5188,scared
22,-53,2621,-262,3277,6360,-5657,-3971,5452,-6714,-2837,-7882,-953,24,-7691,-4619,scared
22,-53,2621,-262,3277,6360,-5657,-3971,5452,-6714,-2837,-7882,-953,24,-7691,-4619,scared
-39,95,-119,-7552,-7504,379,1338,4145,-7082,2687,-6266,8025,-7575,1220,-1691,2098,scared
-39,95,-119,-7552,-7504,379,1338,4145,-7082,2687,-6266,8025,-7575,1220,-1691,2098,scared
-80,87,554,356,-6891,-7550,-6203,-3445,7369,-4893,-2554,-3301,296,-2409,6901,7219,scared
-80,87,554,356,-6891,-7550,-6203,-3445,7369,-4893,-2554,-3301,296,-2409,6901,7219,scared
-48,92,-5122,-124,613,7759,-3990,5029,-1003,-7115,3509,-359,4731,-4023,6203,4241,scared
-48,92,-5122,-124,613,7759,-3990,5029,-1003,-7115,3509,-359,4731,-4023,6203,4241,scared
100,131,-7478,2332,-719,-6021,-6045,-5211,5033,-1659,2640,8156,2425,5536,-6693,-2446,scared
100,131,-7478,2332,-719,-6021,-6045,-5211,5033,-1659,2640,8156,2425,5536,-6693,-2446,scared
31,-95,-7836,-6943,-5635,-3236,-5458,-1459,-2859,-3277,-7899,4045,-4620,2573,5716,-2316,scared
31,-95,-7836,-6943,-5635,-3236,-5458,-1459,-2859,-3277,-7899,4045,-4620,2573,5716,-2316,scared
86,137,3048,-6282,4250,8011,-4705,3258,-608,2069,-1610,3933,3104,2013,5629,7023,scared
86,137,3048,-6282,4250,8011,-4705,3258,-608,2069,-1610,3933,3104,2013,5629,7023,scared
47,-26,1121,5326,168,6693,5613,-2414,-3869,-3012,-4679,-2228,7630,-7290,-5471,5710,scared
47,-26,1121,5326,168,6693,5613,-2414,-3869,-3012,-4679,-2228,7630,-7290,-5471,5710,scared
-68,84,-1082,1726,4271,1864,-6816,128,6055,-6962,7933,-7069,2760,2026,2602,-5692,scared
-68,84,-1082,1726,4271,1864,-6816,128,6055,-6962,7933,-7069,2760,2026,2602,-5692,scared
126,-2,42,-1061,-6650,-5725,-7424,6864,-1447,3048,7964,-3533,-6635,3260,-5040,5068,scared
126,-2,42,-1061,-6650,-5725,-7424,6864,-1447,3048,7964,-3533,-6635,3260,-5040,5068,scared
4,119,-6410,8178,4832,4757,2591,-3627,3844,779,-7867,6823,5812,7140,-1734,-4536,scared
4,119,-6410,8178,4832,4757,2591,-3627,3844,779,-7867,6823,5812,7140,-1734,-4536,scared
3,-44,3392,-6834,-5434,-7880,-7336,-4367,1798,-2957,-965,4144,-4423,-5064,-6437,-6069,scared
3,-44,3392,-6834,-5434,-7880,-7336,-4367,1798,-2957,-965,4144,-4423,-5064,-6437,-6069,scared
43,108,2898,1278,-603,540,3823,-1690,4284,-3908,2439,5339,-3026,3724,2152,5534,scared
43,108,2898,1278,-603,540,3823,-1690,4284,-3908,2439,5339,-3026,3724,2152,5534,scared
-67,-31,6561,3892,7102,-1985,2075,2012,5393,-7464,2697,-3800,3877,994,-507,8169,scared
-67,-31,6561,3892,7102,-1985,2075,2012,5393,-7464,2697,-3800,3877,994,-507,8169,scared
42,-84,-4239,4386,1736,-2999,-4568,7168,-642,296,-2206,3936,5787,5329,-2158,-5150,scared
42,-84,-4239,4386,1736,-2999,-4568,7168,-642,296,-2206,3936,5787,5329,-2158,-5150,scared
128,32,2279,-7784,-4573,-1684,-549,238,197,-7624,6902,-7579,-7709,-7687,7961,-3634,scared
128,32,2279,-7784,-4573,-1684,-549,238,197,-7624,6902,-7579,-7709,-7687,7961,-3634,scared
21,93,-2276,-680,5238,4483,-6455,-193,5953,4965,3958,4211,-3435,3878,-3361,-7141,scared
21,93,-2276,-680,5238,4483,-6455,-193,5953,4965,3958,4211,-3435,3878,-3361,-7141,scared
22,-49,6544,-2922,-5800,-1278,1301,2325,4178,6146,-4932,1208,2615,-7829,3597,3859,scared
22,-49,6544,-2922,-5800,-1278,1301,2325,4178,6146,-4932,1208,2615,-7829,3597,3859,scared
-91,-73,7987,-2642,-2853,-6738,-2553,8127,1981,5435,7048,-2646,191,-5863,-2086,-4357,scared
-91,-73,7987,-2642,-2853,-6738,-2553,8127,1981,5435,7048,-2646,191,-5863,-2086,-4357,scared
-56,110,-3660,-7172,7440,6688,-1679,-6158,4807,2438,-5354,-7943,-3956,6157,-7265,5886,scared
