Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,digust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,digust
-84,22,2519,6644,-1527,5863,2310,-3911,-3417,4250,1383,-1084,-2581,4037,4181,6535,digust
-84,22,2519,6644,-1527,5863,2310,-3911,-3417,4250,1383,-1084,-2581,4037,4181,6535,digust
-101,-47,-5227,-5423,1064,-5958,-3779,-2950,-3591,-3659,7549,1454,7569,3804,2588,-6191,digust
-101,-47,-5227,-5423,1064,-5958,-3779,-2950,-3591,-3659,7549,1454,7569,3804,2588,-6191,digust
-12,9,-2067,3087,4645,-7096,872,868,6890,1163,5858,5155,-6931,6338,3189,-2179,digust
-12,9,-2067,3087,4645,-7096,872,868,6890,1163,5858,5155,-6931,6338,3189,-2179,digust
-77,106,-4091,-3987,-7356,1226,7426,-3399,1896,-3866,5004,-4847,-5273,5484,-7202,-6225,digust
-77,106,-4091,-3987,-7356,1226,7426,-3399,1896,-3866,5004,-4847,-5273,5484,-7202,-6225,digust
62,68,5519,-3205,-6301,-2016,-5568,5209,-5885,6568,1906,-1226,6964,4291,4299,7503,digust
62,68,5519,-3205,-6301,-2016,-5568,5209,-5885,6568,1906,-1226,6964,4291,4299,7503,digust
-65,-23,5138,-3307,1314,7752,6290,-1769,-5813,-4922,-4595,-6967,3106,-7829,6710,4893,digust
-65,-23,5138,-3307,1314,7752,6290,-1769,-5813,-4922,-4595,-6967,3106,-7829,6710,4893,digust
96,-31,3773,920,-2000,2692,2723,957,-5645,-519,-6151,5975,-6056,-3205,-6516,4548,digust
96,-31,3773,920,-2000,2692,2723,957,-5645,-519,-6151,5975,-6056,-3205,-6516,4548,digust
64,38,1621,-2986,8148,-480,6041,-85,-1539,881,-3236,-7235,3935,7968,5409,1117,digust
64,38,1621,-2986,8148,-480,6041,-85,-1539,881,-3236,-7235,3935,7968,5409,1117,digust
21,54,5931,374,324,76,5388,1860,8049,6255,-2328,6952,-1758,-2270,-5399,-7322,digust
21,54,5931,374,324,76,5388,1860,8049,6255,-2328,6952,-1758,-2270,-5399,-7322,digust
106,25,-4385,-118,-3070,-4638,-727,-1995,-2182,-2260,3155,-3136,4441,-4663,-24,-8000,digust
106,25,-4385,-118,-3070,-4638,-727,-1995,-2182,-2260,3155,-3136,4441,-4663,-24,-8000,digust
57,132,-4619,1008,-4324,-1739,-534,8114,1232,-8173,7370,-2538,-5947,-2097,5231,-3232,digust
57,132,-4619,1008,-4324,-1739,-534,8114,1232,-8173,7370,-2538,-5947,-2097,5231,-3232,digust
-97,96,7284,-5569,367,-8084,2990,5351,322,1258,-1754,3229,-1689,215,5180,7699,digust
-97,96,7284,-5569,367,-8084,2990,5351,322,1258,-1754,3229,-1689,215,5180,7699,digust
115,-32,4239,4210,-2153,6467,-1939,-5825,-1429,2924,-6816,-1163,-3361,-4715,-8057,3622,digust
115,-32,4239,4210,-2153,6467,-1939,-5825,-1429,2924,-6816,-1163,-3361,-4715,-8057,3622,digust
79,-2,-5243,5289,-7266,-6735,570,-7823,3837,2307,-1067,-6946,5753,2900,2764,8142,digust
79,-2,-5243,5289,-7266,-6735,570,-7823,3837,2307,-1067,-6946,5753,2900,2764,8142,digust
-68,-9,2309,2233,-7875,-113,-92,-7916,-3502,-6955,2371,-1382,3407,-5738,-7853,5300,digust
