Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-47,31,1387,4498,-5665,3011,-4858,413,1406,-4232,-5889,-2264,-6773,-1769,1587,-2615,happy
-47,31,1387,4498,-5665,3011,-4858,413,1406,-4232,-5889,-2264,-6773,-1769,1587,-2615,happy
63,145,6024,821,-1118,-7281,7554,-255,5884,-6728,-6499,-3518,4651,1258,787,-191,happy
63,145,6024,821,-1118,-7281,7554,-255,5884,-6728,-6499,-3518,4651,1258,787,-191,happy
148,135,3396,-4488,4930,5532,2425,-1656,2917,-7576,3778,5654,1377,853,3312,3784,happy
148,135,3396,-4488,4930,5532,2425,-1656,2917,-7576,3778,5654,1377,853,3312,3784,happy
-88,123,6992,6990,4093,-706,8118,596,-3165,-3112,-5168,6287,7143,5739,-1917,-6793,happy
-88,123,6992,6990,4093,-706,8118,596,-3165,-3112,-5168,6287,7143,5739,-1917,-6793,happy
34,144,-361,-287,-6687,-7289,5826,3090,3174,-3216,2783,-1055,7584,6445,3506,5180,happy
34,144,-361,-287,-6687,-7289,5826,3090,3174,-3216,2783,-1055,7584,6445,3506,5180,happy
104,-26,-3614,-6945,-1641,309,-3648,3895,-1999,2306,-1696,8041,-7615,-5178,-3985,-7667,happy
104,-26,-3614,-6945,-1641,309,-3648,3895,-1999,2306,-1696,8041,-7615,-5178,-3985,-7667,happy
123,88,-5037,-841,-574,5211,3436,5651,1402,-6385,-7132,6408,-4438,-2624,4341,-819,happy
123,88,-5037,-841,-574,5211,3436,5651,1402,-6385,-7132,6408,-4438,-2624,4341,-819,happy
-102,134,1675,-5571,375,-48,-8023,-4728,323,3320,-494,-5236,-1175,67,-6865,-4497,happy
-102,134,1675,-5571,375,-48,-8023,-4728,323,3320,-494,-5236,-1175,67,-6865,-4497,happy
133,-52,4968,3166,2250,1407,5149,-4181,-1957,2167,3842,-1077,3186,-488,-2877,90,happy
133,-52,4968,3166,2250,1407,5149,-4181,-1957,2167,3842,-1077,3186,-488,-2877,90,happy
-67,-48,-3137,3913,-3821,-2827,-7127,-5280,-3933,7612,546,4554,5191,6186,-5670,-6363,happy
-67,-48,-3137,3913,-3821,-2827,-7127,-5280,-3933,7612,546,4554,5191,6186,-5670,-6363,happy
-15,6,4975,7328,-8150,-1068,-4990,-2587,-1613,1422,6619,-6076,-6284,6375,2638,2379,happy
-15,6,4975,7328,-8150,-1068,-4990,-2587,-1613,1422,6619,-6076,-6284,6375,2638,2379,happy
-86,-76,5708,-5543,-6835,5131,-3930,-5192,3412,-6317,-842,7521,-7370,-5687,-1436,6854,happy
-86,-76,5708,-5543,-6835,5131,-3930,-5192,3412,-6317,-842,7521,-7370,-5687,-1436,6854,happy
-93,48,-5459,-3007,-6184,636,-5494,1253,4199,613,-1846,-1258,-3600,1455,3293,-3359,happy
-93,48,-5459,-3007,-6184,636,-5494,1253,4199,613,-1846,-1258,-3600,1455,3293,-3359,happy
44,136,-6888,-7711,-97,756,2485,-7725,6679,-2671,-7951,-5184,-2403,-69,5746,-6282,happy
44,136,-6888,-7711,-97,756,2485,-7725,6679,-2671,-7951,-5184,-2403,-69,5746,-6282,happy
125,-76,5284,7769,-7709,-6493,-869,-1134,-3861,4522,-6303,-6631,-2147,4331,-18,3055,happy
125,-76,5284,7769,-7709,-6493,-869,-1134,-3861,4522,-6303,-6631,-2147,4331,-18,3055,happy
44,57,1753,7770,-149,6180,-7271,1513,-1292,2104,-7863,5041,-5876,-41,2285,-4727,happy
44,57,1753,7770,-149,6180,-7271,1513,-1292,2104,-7863,5041,-5876,-41,2285,-4727,happy
105,74,8128,-4127,-1484,-7172,2063,3722,-1237,5673,5751,2817,-4994,5791,-3895,4055,happy
105,74,8128,-4127,-1484,-7172,2063,3722,-1237,5673,5751,2817,-4994,5791,-3895,4055,happy
-28,2,-2736,-871,8069,7280,7766,6176,-5198,4174,7891,-2502,6657,7731,-725,-5122,happy
-28,2,-2736,-871,8069,7280,7766,6176,-5198,4174,7891,-2502,6657,7731,-725,-5122,happy
16,114,4369,873,2747,950,3521,-5396,5454,8030,852,1904,-4058,4868,-696,2141,happy
16,114,4369,873,2747,950,3521,-5396,5454,8030,852,1904,-4058,4868,-696,2141,happy
-49,29,-174,-8112,1294,2112,-298,1704,3193,1093,-2365,7725,-2947,7943,-6784,8080,happy
-49,29,-174,-8112,1294,2112,-298,1704,3193,1093,-2365,7725,-2947,7943,-6784,8080,happy
-71,136,-8069,-2207,3833,1323,6041,-6585,6861,-7353,1199,2452,1177,-3312,4273,4703,happy
-71,136,-8069,-2207,3833,1323,6041,-6585,6861,-7353,1199,2452,1177,-3312,4273,4703,happy
53,-95,7229,-2605,-6098,3091,-5135,1173,-1032,-264,7966,-1511,-5525,-4494,6307,3398,happy
53,-95,7229,-2605,-6098,3091,-5135,1173,-1032,-264,7966,-1511,-5525,-4494,6307,3398,happy
-40,128,1126,5779,7287,1409,1230,-117,-370,-6919,-687,-5139,6771,4934,185,-1765,happy
-40,128,1126,5779,7287,1409,1230,-117,-370,-6919,-687,-5139,6771,4934,185,-1765,happy
25,48,-2220,5982,7122,8001,2976,-1167,-3698,-1269,-2341,2527,-1881,-6677,7439,-4064,happy
25,48,-2220,5982,7122,8001,2976,-1167,-3698,-1269,-2341,2527,-1881,-6677,7439,-4064,happy
108,66,-4394,-482,-3356,3359,-1582,-337,-5401,-3046,8165,-3690,-8075,-3381,5501,-7155,happy
108,66,-4394,-482,-3356,3359,-1582,-337,-5401,-3046,8165,-3690,-8075,-3381,5501,-7155,happy
104,97,4626,-6055,1824,-7193,6358,7270,3328,981,-4145,3035,-7056,3701,-7541,-3390,happy
