Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-62,54,6238,5449,492,-4765,6724,-2222,-3677,1788,-4945,1008,666,7726,-7758,5572,happy
-62,54,6238,5449,492,-4765,6724,-2222,-3677,1788,-4945,1008,666,7726,-7758,5572,happy
40,-60,5326,-6812,6312,5957,-732,-1023,-4326,-5728,6183,4159,-5757,-7671,-3179,4730,happy
40,-60,5326,-6812,6312,5957,-732,-1023,-4326,-5728,6183,4159,-5757,-7671,-3179,4730,happy
149,-72,-5673,-6106,4514,-1274,-5182,3578,-3295,-4555,781,-7394,6858,-1245,6964,5221,happy
149,-72,-5673,-6106,4514,-1274,-5182,3578,-3295,-4555,781,-7394,6858,-1245,6964,5221,happy
106,84,6755,-1302,3550,3392,6336,2450,-953,-5610,7360,1480,3292,-5034,-5947,-6066,happy
106,84,6755,-1302,3550,3392,6336,2450,-953,-5610,7360,1480,3292,-5034,-5947,-6066,happy
33,-103,-509,3048,4189,5812,7946,5343,-4359,2150,-4006,-4116,-5180,7731,2900,1036,happy
33,-103,-509,3048,4189,5812,7946,5343,-4359,2150,-4006,-4116,-5180,7731,2900,1036,happy
29,20,-5347,-4440,1653,-5562,-7388,5680,8086,-1699,-5810,-6428,5670,-6239,2315,7008,happy
29,20,-5347,-4440,1653,-5562,-7388,5680,8086,-1699,-5810,-6428,5670,-6239,2315,7008,happy
27,28,3947,-103,-3594,-1169,147,-5211,-5504,7695,-3043,6663,-8097,5792,2549,3185,happy
27,28,3947,-103,-3594,-1169,147,-5211,-5504,7695,-3043,6663,-8097,5792,2549,3185,happy
6,-100,6157,3145,-3011,2365,8059,-2728,-7524,-4947,6115,7295,1559,825,1231,1526,happy
6,-100,6157,3145,-3011,2365,8059,-2728,-7524,-4947,6115,7295,1559,825,1231,1526,happy
-12,43,5881,-8147,-7978,2599,1734,3280,3703,-5793,-5425,4522,-7455,-3922,-2269,-7792,happy
-12,43,5881,-8147,-7978,2599,1734,3280,3703,-5793,-5425,4522,-7455,-3922,-2269,-7792,happy
65,74,3092,1168,4004,-4841,5914,6717,5274,1241,-5587,731,1832,-2926,3547,7858,happy
65,74,3092,1168,4004,-4841,5914,6717,5274,1241,-5587,731,1832,-2926,3547,7858,happy
149,97,6868,-5252,4836,-1918,6886,-1968,-673,-2246,1279,-7195,4768,-6984,-3367,2668,happy
149,97,6868,-5252,4836,-1918,6886,-1968,-673,-2246,1279,-7195,4768,-6984,-3367,2668,happy
-39,144,6889,2429,-4639,3850,-6944,-1833,6343,7131,2694,6098,7339,-1253,-3477,-6351,happy
-39,144,6889,2429,-4639,3850,-6944,-1833,6343,7131,2694,6098,7339,-1253,-3477,-6351,happy
29,-40,-6134,2906,-3386,3058,3864,4266,-3938,-1887,-1215,-6730,464,-4121,-2709,5472,happy
29,-40,-6134,2906,-3386,3058,3864,4266,-3938,-1887,-1215,-6730,464,-4121,-2709,5472,happy
-100,89,-6332,2399,4105,4569,6125,-3734,-1258,-6210,3181,725,-6199,2825,-5127,3111,happy
-100,89,-6332,2399,4105,4569,6125,-3734,-1258,-6210,3181,725,-6199,2825,-5127,3111,happy
-86,-68,-2932,-2145,1016,6902,-6590,2431,-7167,-5657,-7782,-457,5793,7478,-5850,-2442,happy
-86,-68,-2932,-2145,1016,6902,-6590,2431,-7167,-5657,-7782,-457,5793,7478,-5850,-2442,happy
70,-66,5765,5375,-93,-1208,3796,5209,1854,-6415,-1321,-5913,-6237,3910,-3458,7069,happy
70,-66,5765,5375,-93,-1208,3796,5209,1854,-6415,-1321,-5913,-6237,3910,-3458,7069,happy
60,-32,-2260,564,2212,-7491,-5608,1040,-4228,1497,739,1473,-4521,3483,6906,-643,happy
60,-32,-2260,564,2212,-7491,-5608,1040,-4228,1497,739,1473,-4521,3483,6906,-643,happy
-46,139,2869,7643,2804,5143,4456,5120,-883,6789,5285,-4929,-5666,-4821,3653,-1676,happy
-46,139,2869,7643,2804,5143,4456,5120,-883,6789,5285,-4929,-5666,-4821,3653,-1676,happy
8,89,898,1115,-102,5007,-5200,-1168,4618,6577,-6660,-6338,-7522,-4029,-2235,1394,happy
8,89,898,1115,-102,5007,-5200,-1168,4618,6577,-6660,-6338,-7522,-4029,-2235,1394,happy
103,100,105,6656,7192,6728,-2689,-432,4808,3632,3766,-3517,7672,1309,6702,-3176,happy
