Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-86,121,-2677,6020,-6906,-3696,6692,-4323,-7461,-6894,4415,8124,-524,-5027,-7609,8093,scared
-86,121,-2677,6020,-6906,-3696,6692,-4323,-7461,-6894,4415,8124,-524,-5027,-7609,8093,scared
-51,6,4753,3500,4065,-5755,5238,421,5934,-1346,1560,1163,1318,460,7884,2302,scared
-51,6,4753,3500,4065,-5755,5238,421,5934,-1346,1560,1163,1318,460,7884,2302,scared
-25,-43,-3098,5091,-4631,-647,-5895,5392,-2804,156,7351,4469,1934,2362,7230,761,scared
-25,-43,-3098,5091,-4631,-647,-5895,5392,-2804,156,7351,4469,1934,2362,7230,761,scared
-67,36,7021,-1558,-5149,-3486,2094,-3281,-4462,-5300,-7648,8055,-21,-1159,8127,6721,scared
-67,36,7021,-1558,-5149,-3486,2094,-3281,-4462,-5300,-7648,8055,-21,-1159,8127,6721,scared
-42,141,1288,-796,-1019,6285,487,-2776,4780,-8064,-248,-681,-6601,1181,-5905,5414,scared
-42,141,1288,-796,-1019,6285,487,-2776,4780,-8064,-248,-681,-6601,1181,-5905,5414,scared
8,-102,-5133,1891,-6076,-1648,5173,-3092,2206,-7704,-3360,-7589,5554,3877,6655,2881,scared
8,-102,-5133,1891,-6076,-1648,5173,-3092,2206,-7704,-3360,-7589,5554,3877,6655,2881,scared
74,-87,-5634,-1106,-1017,7595,-133,-1102,1135,-8122,-5694,-6676,-7052,4135,-7024,-1902,scared
74,-87,-5634,-1106,-1017,7595,-133,-1102,1135,-8122,-5694,-6676,-7052,4135,-7024,-1902,scared
61,63,7834,3451,1675,-4538,1847,629,3741,-4575,4918,-1395,-3873,-5441,2927,3511,scared
61,63,7834,3451,1675,-4538,1847,629,3741,-4575,4918,-1395,-3873,-5441,2927,3511,scared
-65,50,5369,2053,-6507,-2963,6988,-2651,2244,-4691,747,8024,-4108,3041,-8057,-3599,scared
-65,50,5369,2053,-6507,-2963,6988,-2651,2244,-4691,747,8024,-4108,3041,-8057,-3599,scared
-86,-36,3856,-6669,198,129,-226,6390,5949,2994,-6092,1,2973,1958,-959,-4208,scared
-86,-36,3856,-6669,198,129,-226,6390,5949,2994,-6092,1,2973,1958,-959,-4208,scared
87,71,-767,-4254,4128,1216,-2090,6575,-4109,6473,-7219,-8024,3613,3822,-5423,-678,scared
87,71,-767,-4254,4128,1216,-2090,6575,-4109,6473,-7219,-8024,3613,3822,-5423,-678,scared
86,19,-5010,6228,6616,-5694,986,-5554,-1293,-4493,-7413,639,5276,2556,-3774,2586,scared
86,19,-5010,6228,6616,-5694,986,-5554,-1293,-4493,-7413,639,5276,2556,-3774,2586,scared
112,80,4435,4265,5965,-3393,-5699,-65,577,7377,-2755,942,-6880,578,-8047,-8065,scared
112,80,4435,4265,5965,-3393,-5699,-65,577,7377,-2755,942,-6880,578,-8047,-8065,scared
-19,92,-1334,259,-5344,1647,-733,-6900,-3139,-1578,-4390,5949,-6012,1168,-6895,3590,scared
-19,92,-1334,259,-5344,1647,-733,-6900,-3139,-1578,-4390,5949,-6012,1168,-6895,3590,scared
144,66,-264,-581,-396,-7244,2044,1935,7145,-153,2980,1586,3691,4340,5463,4859,scared
144,66,-264,-581,-396,-7244,2044,1935,7145,-153,2980,1586,3691,4340,5463,4859,scared
-35,21,-5227,3961,8037,7142,-906,-7502,-316,4525,-5266,7608,-2153,-937,3607,-4504,scared
-35,21,-5227,3961,8037,7142,-906,-7502,-316,4525,-5266,7608,-2153,-937,3607,-4504,scared
142,89,5361,-3145,-1002,-7875,-1526,-6431,7469,6247,-2469,861,-4215,2116,3951,7644,scared
142,89,5361,-3145,-1002,-7875,-1526,-6431,7469,6247,-2469,861,-4215,2116,3951,7644,scared
53,-82,5995,-2734,-5716,-6463,-7985,1177,1269,437,-1344,-3644,3373,-2303,-5073,5391,scared
53,-82,5995,-2734,-5716,-6463,-7985,1177,1269,437,-1344,-3644,3373,-2303,-5073,5391,scared
-78,10,993,-3204,-6340,1969,3617,-2914,-7280,313,-2454,-4283,63,591,-5027,7445,scared
-78,10,993,-3204,-6340,1969,3617,-2914,-7280,313,-2454,-4283,63,591,-5027,7445,scared
109,-72,-2417,6405,-2541,-4507,4390,7852,6259,5953,4780,-6682,-6845,-5552,-1637,-5436,scared
109,-72,-2417,6405,-2541,-4507,4390,7852,6259,5953,4780,-6682,-6845,-5552,-1637,-5436,scared
21,37,4778,-4271,-5723,3942,-2660,3657,8005,-895,582,3502,810,-651,6438,4502,scared
21,37,4778,-4271,-5723,3942,-2660,3657,8005,-895,582,3502,810,-651,6438,4502,scared
86,-55,-4714,3262,-1730,-3680,-1103,6862,-280,4654,4031,-1809,3089,-2323,-5783,-1621,scared
86,-55,-4714,3262,-1730,-3680,-1103,6862,-280,4654,4031,-1809,3089,-2323,-5783,-1621,scared
7,11,6024,491,4661,4612,-925,-2518,-640,3757,1571,-2480,6489,4622,-7822,372,scared
