Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
51,-11,-2707,6932,8014,-7597,-3723,40,-3397,-1262,6568,-3011,3598,3476,-1249,-1476,Neutral
51,-11,-2707,6932,8014,-7597,-3723,40,-3397,-1262,6568,-3011,3598,3476,-1249,-1476,Neutral
-104,146,5944,-5786,3832,5174,-8017,8052,-4886,2761,7457,6417,5679,-5068,-6879,-3195,Neutral
-104,146,5944,-5786,3832,5174,-8017,8052,-4886,2761,7457,6417,5679,-5068,-6879,-3195,Neutral
-69,-20,-6871,4348,-1657,-4805,-648,-2480,4783,4240,7607,-4892,1572,1451,4051,1047,Neutral
-69,-20,-6871,4348,-1657,-4805,-648,-2480,4783,4240,7607,-4892,1572,1451,4051,1047,Neutral
24,-80,6360,-6952,1878,-6528,-7983,-2423,1494,-7438,7249,-5561,-1158,-2015,-2229,3932,Neutral
24,-80,6360,-6952,1878,-6528,-7983,-2423,1494,-7438,7249,-5561,-1158,-2015,-2229,3932,Neutral
-61,-77,2581,2496,4263,5187,1976,5991,7458,-7962,-3061,2912,-3500,1583,6393,-7705,Neutral
-61,-77,2581,2496,4263,5187,1976,5991,7458,-7962,-3061,2912,-3500,1583,6393,-7705,Neutral
120,-2,-7660,-6904,2485,2000,1666,3886,-5795,-25,2671,1720,2415,1597,5470,-6590,Neutral
120,-2,-7660,-6904,2485,2000,1666,3886,-5795,-25,2671,1720,2415,1597,5470,-6590,Neutral
75,128,-51,-2476,4282,-4502,-5662,322,-488,-4223,-6853,-3472,-4408,7967,-3758,548,Neutral
75,128,-51,-2476,4282,-4502,-5662,322,-488,-4223,-6853,-3472,-4408,7967,-3758,548,Neutral
144,-101,623,2236,-729,4349,-5828,5434,-2724,-1296,949,3436,-4768,5452,-3835,5235,Neutral
144,-101,623,2236,-729,4349,-5828,5434,-2724,-1296,949,3436,-4768,5452,-3835,5235,Neutral
129,99,6883,6122,3399,6435,6008,-2325,1766,3779,3568,-589,6911,5926,3368,3336,Neutral
129,99,6883,6122,3399,6435,6008,-2325,1766,3779,3568,-589,6911,5926,3368,3336,Neutral
112,97,875,-7969,334,4167,4798,7728,1377,4842,6975,-4115,-6412,-4225,-3418,6650,Neutral
112,97,875,-7969,334,4167,4798,7728,1377,4842,6975,-4115,-6412,-4225,-3418,6650,Neutral
52,10,2406,1402,4833,-6555,1573,44,1696,5922,-805,-3756,3867,-3768,-1527,1227,Neutral
52,10,2406,1402,4833,-6555,1573,44,1696,5922,-805,-3756,3867,-3768,-1527,1227,Neutral
