Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-22,100,274,-6861,-313,-4374,-4253,-7512,894,-3963,4292,1089,6474,-5277,4640,-8000,disgust
-22,100,274,-6861,-313,-4374,-4253,-7512,894,-3963,4292,1089,6474,-5277,4640,-8000,disgust
-100,34,2657,3117,-5073,-6299,-3221,2118,4330,-757,-1938,6475,171,1958,6325,-5331,disgust
-100,34,2657,3117,-5073,-6299,-3221,2118,4330,-757,-1938,6475,171,1958,6325,-5331,disgust
-30,86,-8094,-2454,-5080,-6632,-4166,7248,-3967,-6246,-6061,4146,7928,7564,-185,-4986,disgust
-30,86,-8094,-2454,-5080,-6632,-4166,7248,-3967,-6246,-6061,4146,7928,7564,-185,-4986,disgust
-83,19,6314,4484,6483,-3356,7256,3136,3775,6758,-5195,-7499,-5260,2742,-3763,4895,disgust
-83,19,6314,4484,6483,-3356,7256,3136,3775,6758,-5195,-7499,-5260,2742,-3763,4895,disgust
-79,23,5425,6122,251,-6889,-1468,8063,7603,-6033,-4900,7109,-6210,1395,6325,-1238,disgust
-79,23,5425,6122,251,-6889,-1468,8063,7603,-6033,-4900,7109,-6210,1395,6325,-1238,disgust
-73,106,-2812,-687,-4327,-2573,-6525,-1081,2052,-7459,2614,-3193,-1964,-5524,7994,-789,disgust
-73,106,-2812,-687,-4327,-2573,-6525,-1081,2052,-7459,2614,-3193,-1964,-5524,7994,-789,disgust
74,121,6002,-7767,-4626,-245,-2553,-7360,1302,-4574,-1216,614,7678,-1777,6589,8147,disgust
74,121,6002,-7767,-4626,-245,-2553,-7360,1302,-4574,-1216,614,7678,-1777,6589,8147,disgust
43,-14,-6705,-7979,-6776,-1022,-5384,2698,-3375,-4983,-3383,-3290,-7721,3702,-6967,6256,disgust
43,-14,-6705,-7979,-6776,-1022,-5384,2698,-3375,-4983,-3383,-3290,-7721,3702,-6967,6256,disgust
63,130,-3996,-2814,-524,-2850,1455,408,3846,4768,4718,6033,-1336,-2399,6107,500,disgust
63,130,-3996,-2814,-524,-2850,1455,408,3846,4768,4718,6033,-1336,-2399,6107,500,disgust
-22,38,5967,2351,3841,6911,-1605,2441,2703,-7256,-6640,879,-4112,-7479,3980,-2972,disgust
-22,38,5967,2351,3841,6911,-1605,2441,2703,-7256,-6640,879,-4112,-7479,3980,-2972,disgust
-70,86,5168,1659,7750,-2597,-5175,-847,-5554,-2948,-2867,4606,2182,-494,2060,8093,disgust
-70,86,5168,1659,7750,-2597,-5175,-847,-5554,-2948,-2867,4606,2182,-494,2060,8093,disgust
-85,22,2139,4585,3209,-2808,4116,-3137,-2534,486,-4975,4205,4908,1133,733,-6102,disgust
-85,22,2139,4585,3209,-2808,4116,-3137,-2534,486,-4975,4205,4908,1133,733,-6102,disgust
-16,30,6158,2045,-4512,5873,-3891,5987,-1647,-7213,-881,3606,1791,4844,4050,-2725,disgust
-16,30,6158,2045,-4512,5873,-3891,5987,-1647,-7213,-881,3606,1791,4844,4050,-2725,disgust
-56,62,3990,-5231,-1512,7857,-1581,584,-878,-6413,2682,-4868,7835,-7290,-1131,499,disgust
-56,62,3990,-5231,-1512,7857,-1581,584,-878,-6413,2682,-4868,7835,-7290,-1131,499,disgust
-16,71,7822,-3707,-609,-5138,-1905,2346,-7505,-253,4130,-3648,5984,-836,-6038,8028,disgust
-16,71,7822,-3707,-609,-5138,-1905,2346,-7505,-253,4130,-3648,5984,-836,-6038,8028,disgust
-100,-82,280,-565,-2201,-3726,-195,7174,3776,4149,-1408,-6020,-302,5556,-1964,7570,disgust
-100,-82,280,-565,-2201,-3726,-195,7174,3776,4149,-1408,-6020,-302,5556,-1964,7570,disgust
42,130,7766,7757,3243,-5229,7783,-6489,4717,-2873,4922,4442,6873,6699,2203,-5605,disgust
42,130,7766,7757,3243,-5229,7783,-6489,4717,-2873,4922,4442,6873,6699,2203,-5605,disgust
-9,37,3625,8020,-1676,4399,-7862,8071,-2765,-6866,-5951,4203,7932,71,3050,4621,disgust
-9,37,3625,8020,-1676,4399,-7862,8071,-2765,-6866,-5951,4203,7932,71,3050,4621,disgust
-74,78,-5836,5290,7279,-2649,-6173,-2843,-7266,-5121,411,-2959,3029,2951,-1697,-2860,disgust
-74,78,-5836,5290,7279,-2649,-6173,-2843,-7266,-5121,411,-2959,3029,2951,-1697,-2860,disgust
13,-26,3070,1943,4833,-416,7955,-7491,304,1595,4596,6431,3481,-4652,-4542,-3,disgust
13,-26,3070,1943,4833,-416,7955,-7491,304,1595,4596,6431,3481,-4652,-4542,-3,disgust
141,136,-1649,-717,2788,518,-948,-8170,4171,-3952,-1,-1417,-8051,4640,-3515,-5422,disgust
141,136,-1649,-717,2788,518,-948,-8170,4171,-3952,-1,-1417,-8051,4640,-3515,-5422,disgust
143,87,2488,-2002,7904,1746,7641,2740,-6526,-7331,-7698,977,-3136,-4337,-6659,1182,disgust
143,87,2488,-2002,7904,1746,7641,2740,-6526,-7331,-7698,977,-3136,-4337,-6659,1182,disgust
119,-8,4554,-7040,-7687,-5042,7532,2635,-280,-6034,4522,-2356,6232,7352,-918,7704,disgust
119,-8,4554,-7040,-7687,-5042,7532,2635,-280,-6034,4522,-2356,6232,7352,-918,7704,disgust
86,-4,-7128,-1127,7799,2761,289,-3416,6925,1546,-1959,-2818,2854,4095,14,-1523,disgust
86,-4,-7128,-1127,7799,2761,289,-3416,6925,1546,-1959,-2818,2854,4095,14,-1523,disgust
42,87,2522,-6043,-4328,7367,-5435,-6208,2838,5804,-3131,-2598,1280,-2814,-5732,4923,disgust
42,87,2522,-6043,-4328,7367,-5435,-6208,2838,5804,-3131,-2598,1280,-2814,-5732,4923,disgust
-100,102,2393,1869,6197,-1641,-5436,-936,-2030,-708,2070,-1491,2308,6784,-7631,6575,disgust
-100,102,2393,1869,6197,-1641,-5436,-936,-2030,-708,2070,-1491,2308,6784,-7631,6575,disgust
76,-105,7462,4103,-2891,5500,-809,4319,7385,-8025,-1028,1962,204,6327,421,-6256,disgust
76,-105,7462,4103,-2891,5500,-809,4319,7385,-8025,-1028,1962,204,6327,421,-6256,disgust
-71,-56,-7269,7506,7237,-6055,-2864,7062,-4506,-1683,6623,-3493,-1131,7026,-5821,738,disgust
-71,-56,-7269,7506,7237,-6055,-2864,7062,-4506,-1683,6623,-3493,-1131,7026,-5821,738,disgust
73,63,-6564,6801,487,-8140,-1812,1953,2222,6010,-5711,3047,-6913,7784,4126,7165,disgust
73,63,-6564,6801,487,-8140,-1812,1953,2222,6010,-5711,3047,-6913,7784,4126,7165,disgust
-44,-64,-2014,-6201,-6600,-4762,7330,-7380,-7711,4654,1884,1857,3778,-756,4423,4339,disgust
-44,-64,-2014,-6201,-6600,-4762,7330,-7380,-7711,4654,1884,1857,3778,-756,4423,4339,disgust
142,62,-255,4754,5365,-7704,-2933,-1560,-7402,-2535,7308,4652,-994,-6625,-207,2398,disgust
142,62,-255,4754,5365,-7704,-2933,-1560,-7402,-2535,7308,4652,-994,-6625,-207,2398,disgust
-93,-105,4924,4144,7775,6831,-465,6961,-3149,-1356,3687,4873,5477,-2221,-1756,-3010,disgust
-93,-105,4924,4144,7775,6831,-465,6961,-3149,-1356,3687,4873,5477,-2221,-1756,-3010,disgust
51,11,4383,-2849,-2450,-6814,-7065,5464,2284,1237,7267,4738,-1736,2092,1423,1012,disgust
51,11,4383,-2849,-2450,-6814,-7065,5464,2284,1237,7267,4738,-1736,2092,1423,1012,disgust
-104,-29,-4919,7481,-1380,-2655,7721,7026,-7794,7918,-7186,654,5957,7412,-7100,-5112,disgust
-104,-29,-4919,7481,-1380,-2655,7721,7026,-7794,7918,-7186,654,5957,7412,-7100,-5112,disgust
76,146,-7905,7267,7563,-6132,-7807,4640,-1020,6831,7261,-3498,173,-3877,-6989,1741,disgust
76,146,-7905,7267,7563,-6132,-7807,4640,-1020,6831,7261,-3498,173,-3877,-6989,1741,disgust
-46,117,-7177,-3656,-2894,-5296,2092,1901,869,4596,-2022,-5559,-139,1822,-6625,-3837,disgust
