Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
20,80,-8127,5604,3461,235,-7868,5925,-2382,5215,-944,3300,7653,6713,-6202,-5729,happy
20,80,-8127,5604,3461,235,-7868,5925,-2382,5215,-944,3300,7653,6713,-6202,-5729,happy
121,-14,10,-2290,-5312,2307,433,5409,-3766,-2033,-2127,-5086,6331,3458,51,-569,happy
121,-14,10,-2290,-5312,2307,433,5409,-3766,-2033,-2127,-5086,6331,3458,51,-569,happy
-74,55,-7495,-8188,-2467,6458,-3165,-1008,-3230,-6914,6223,5184,-266,-948,1340,-571,happy
-74,55,-7495,-8188,-2467,6458,-3165,-1008,-3230,-6914,6223,5184,-266,-948,1340,-571,happy
-9,117,-1411,-377,4775,-7332,-5290,7066,-5153,4468,7724,1871,-6065,1574,-4355,-4927,happy
-9,117,-1411,-377,4775,-7332,-5290,7066,-5153,4468,7724,1871,-6065,1574,-4355,-4927,happy
135,14,-6506,7077,5035,-2429,1343,123,2150,7070,1110,-94,1242,2100,-6991,-3911,happy
135,14,-6506,7077,5035,-2429,1343,123,2150,7070,1110,-94,1242,2100,-6991,-3911,happy
-6,-53,-6792,-3546,-5544,7787,-4329,1233,1381,570,-840,-5376,-6035,-3458,2364,5626,happy
-6,-53,-6792,-3546,-5544,7787,-4329,1233,1381,570,-840,-5376,-6035,-3458,2364,5626,happy
95,-96,5854,-7176,4566,-1031,-3815,1649,3294,7959,764,6586,2617,5221,-8109,-7490,happy
95,-96,5854,-7176,4566,-1031,-3815,1649,3294,7959,764,6586,2617,5221,-8109,-7490,happy
7,101,-6606,-5911,5564,1358,3481,-3088,-5911,-186,2802,-2226,-7542,-6631,3514,4921,happy
7,101,-6606,-5911,5564,1358,3481,-3088,-5911,-186,2802,-2226,-7542,-6631,3514,4921,happy
41,91,5138,-7603,-6496,595,-2466,2807,-8134,-6663,6250,3585,7874,-1206,-1014,7676,happy
41,91,5138,-7603,-6496,595,-2466,2807,-8134,-6663,6250,3585,7874,-1206,-1014,7676,happy
23,8,6601,-2835,3072,2877,-7202,3874,696,-3907,-2990,3726,-3218,4552,5302,-6745,happy
23,8,6601,-2835,3072,2877,-7202,3874,696,-3907,-2990,3726,-3218,4552,5302,-6745,happy
14,42,-7902,1551,3216,-5315,-5639,-1238,1020,-2126,379,8177,3069,-484,-6464,5920,happy
14,42,-7902,1551,3216,-5315,-5639,-1238,1020,-2126,379,8177,3069,-484,-6464,5920,happy
76,-102,504,-5634,4316,-4870,-72,6238,1883,-5819,-1394,4599,6922,5240,-6631,-1074,happy
76,-102,504,-5634,4316,-4870,-72,6238,1883,-5819,-1394,4599,6922,5240,-6631,-1074,happy
149,-78,-5000,-6412,-6389,-3984,5219,-3153,426,-2630,2420,-7810,1268,-4051,-7158,6628,happy
149,-78,-5000,-6412,-6389,-3984,5219,-3153,426,-2630,2420,-7810,1268,-4051,-7158,6628,happy
-45,-17,3249,6048,-3214,1461,5175,7288,-5829,-6270,-4460,-4325,-4652,969,-5050,2029,happy
-45,-17,3249,6048,-3214,1461,5175,7288,-5829,-6270,-4460,-4325,-4652,969,-5050,2029,happy
57,36,2794,-12,2170,3195,6314,-4647,-1098,-4809,4590,-2586,-4550,4721,-1935,1196,happy
57,36,2794,-12,2170,3195,6314,-4647,-1098,-4809,4590,-2586,-4550,4721,-1935,1196,happy
-79,-58,-1007,4786,3361,-5581,-4353,3125,6523,471,-3318,-7065,1999,1479,-4164,-6735,happy
-79,-58,-1007,4786,3361,-5581,-4353,3125,6523,471,-3318,-7065,1999,1479,-4164,-6735,happy
124,-69,5556,6767,1007,1546,6596,-1613,-3261,-4734,7618,-7681,-3547,-7958,-7799,4885,happy
124,-69,5556,6767,1007,1546,6596,-1613,-3261,-4734,7618,-7681,-3547,-7958,-7799,4885,happy
-88,115,6967,5624,-1652,4576,-6937,3476,1046,6559,-1429,-1238,-2289,-7968,-5152,199,happy
-88,115,6967,5624,-1652,4576,-6937,3476,1046,6559,-1429,-1238,-2289,-7968,-5152,199,happy
-38,-99,-1803,5184,8105,1373,-3163,5560,-2834,-5778,4381,-220,5401,-5736,-5404,7107,happy
-38,-99,-1803,5184,8105,1373,-3163,5560,-2834,-5778,4381,-220,5401,-5736,-5404,7107,happy
-83,27,-1853,4978,1438,1472,-2420,7201,-8069,-3590,3455,1570,-6917,-3425,1886,-6546,happy
-83,27,-1853,4978,1438,1472,-2420,7201,-8069,-3590,3455,1570,-6917,-3425,1886,-6546,happy
-25,115,7649,5711,287,-2430,5581,-2213,-3303,2532,-5372,5756,1130,3802,-841,-326,happy
-25,115,7649,5711,287,-2430,5581,-2213,-3303,2532,-5372,5756,1130,3802,-841,-326,happy
138,126,-3520,3825,-1028,3543,3256,169,-1821,-4771,-7493,6800,-4305,4671,-3184,4312,happy
138,126,-3520,3825,-1028,3543,3256,169,-1821,-4771,-7493,6800,-4305,4671,-3184,4312,happy
58,92,4752,3187,-1234,-4580,699,5376,2928,169,1764,-1350,-3259,4938,4360,1312,happy
58,92,4752,3187,-1234,-4580,699,5376,2928,169,1764,-1350,-3259,4938,4360,1312,happy
44,91,-2053,-2133,-3419,-5181,-7382,-4725,-4307,-5329,3916,-7287,-6531,2334,-6236,7286,happy
44,91,-2053,-2133,-3419,-5181,-7382,-4725,-4307,-5329,3916,-7287,-6531,2334,-6236,7286,happy
113,-81,3150,5923,5514,4373,6355,3827,-4130,1676,-957,-5524,-483,-7352,-1401,-3548,happy
