Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,disgust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,disgust
-65,-17,-5449,2348,1047,3591,4726,-4620,-4301,6256,-1218,7467,-6979,4427,-3675,-2489,disgust
-65,-17,-5449,2348,1047,3591,4726,-4620,-4301,6256,-1218,7467,-6979,4427,-3675,-2489,disgust
118,60,-5559,3410,-3730,6187,-5539,984,-1014,3694,4914,-3740,937,-1823,7557,-2661,disgust
118,60,-5559,3410,-3730,6187,-5539,984,-1014,3694,4914,-3740,937,-1823,7557,-2661,disgust
-23,31,-6714,-6105,-6346,-6344,5815,8010,3660,1051,-4238,-5807,875,1050,-6832,-1519,disgust
-23,31,-6714,-6105,-6346,-6344,5815,8010,3660,1051,-4238,-5807,875,1050,-6832,-1519,disgust
92,68,-2075,-7010,-4554,2460,-4456,-7741,3136,6441,-848,6512,-6372,-4960,2772,7473,disgust
92,68,-2075,-7010,-4554,2460,-4456,-7741,3136,6441,-848,6512,-6372,-4960,2772,7473,disgust
79,53,-6106,6684,-1098,-778,-6852,1706,-7492,1384,-3295,-3981,1360,3943,5010,-3437,disgust
79,53,-6106,6684,-1098,-778,-6852,1706,-7492,1384,-3295,-3981,1360,3943,5010,-3437,disgust
-45,-81,3790,182,-5715,6462,-3153,6156,5414,-6560,-3874,4397,-1245,6608,-7147,7978,disgust
-45,-81,3790,182,-5715,6462,-3153,6156,5414,-6560,-3874,4397,-1245,6608,-7147,7978,disgust
40,69,1397,-85,-1587,5084,5414,-815,7731,-2814,-7316,3651,-7118,-3086,-6549,-5959,disgust
40,69,1397,-85,-1587,5084,5414,-815,7731,-2814,-7316,3651,-7118,-3086,-6549,-5959,disgust
98,-104,5395,6108,-7437,-3176,-4044,-6733,-2176,-5838,-8167,1725,2099,473,5349,6554,disgust
98,-104,5395,6108,-7437,-3176,-4044,-6733,-2176,-5838,-8167,1725,2099,473,5349,6554,disgust
72,33,-1198,7671,931,5201,-1173,-6815,5425,-4693,2738,4122,2396,4208,-824,879,disgust
72,33,-1198,7671,931,5201,-1173,-6815,5425,-4693,2738,4122,2396,4208,-824,879,disgust
94,-77,-7441,938,-6999,-6079,-5378,-5,2219,-7738,-6755,6051,5917,2774,-7168,-6257,disgust
94,-77,-7441,938,-6999,-6079,-5378,-5,2219,-7738,-6755,6051,5917,2774,-7168,-6257,disgust
135,7,-1942,-6803,-1116,2084,-6242,-8170,-3532,5195,-1184,7899,-1584,-2221,-3852,3153,disgust
135,7,-1942,-6803,-1116,2084,-6242,-8170,-3532,5195,-1184,7899,-1584,-2221,-3852,3153,disgust
59,32,3210,4733,4158,-4694,-5627,-6418,-635,3509,7160,3608,-1863,1974,4451,-6052,disgust
59,32,3210,4733,4158,-4694,-5627,-6418,-635,3509,7160,3608,-1863,1974,4451,-6052,disgust
37,52,-8111,2840,-4924,-5920,-4245,-1059,-5400,2675,-6391,-855,118,-4797,-5641,-2064,disgust
37,52,-8111,2840,-4924,-5920,-4245,-1059,-5400,2675,-6391,-855,118,-4797,-5641,-2064,disgust
135,-44,3333,-3152,867,1264,-452,-7582,-393,-254,877,4618,-627,-6233,2049,2081,disgust
135,-44,3333,-3152,867,1264,-452,-7582,-393,-254,877,4618,-627,-6233,2049,2081,disgust
26,111,6170,8102,-1156,3296,4407,3161,-2402,-84,-4122,-6043,-895,2663,2756,1691,disgust
26,111,6170,8102,-1156,3296,4407,3161,-2402,-84,-4122,-6043,-895,2663,2756,1691,disgust
-51,69,5922,2507,1618,-6150,8055,-668,3557,-5128,-6299,7816,-4542,-3762,7470,-4832,disgust
-51,69,5922,2507,1618,-6150,8055,-668,3557,-5128,-6299,7816,-4542,-3762,7470,-4832,disgust
-54,-103,-1865,3868,-1162,-5714,7920,-4740,-5519,8117,4523,1335,421,6268,-5618,6881,disgust
-54,-103,-1865,3868,-1162,-5714,7920,-4740,-5519,8117,4523,1335,421,6268,-5618,6881,disgust
65,89,-1354,7944,2134,-321,-545,6244,2377,-4130,-2633,-7689,3503,-1942,-7410,7017,disgust
65,89,-1354,7944,2134,-321,-545,6244,2377,-4130,-2633,-7689,3503,-1942,-7410,7017,disgust
66,-66,126,4894,393,630,6315,-7212,-7903,-2350,-635,-7160,-6024,1084,-1259,-3144,disgust
66,-66,126,4894,393,630,6315,-7212,-7903,-2350,-635,-7160,-6024,1084,-1259,-3144,disgust
-41,1,3123,-220,5741,-3888,-3035,3114,1220,6342,1016,-2635,-840,-533,-4068,-3836,disgust
-41,1,3123,-220,5741,-3888,-3035,3114,1220,6342,1016,-2635,-840,-533,-4068,-3836,disgust
72,-52,-3416,-7457,-5363,-3372,-7631,-211,-2254,6834,7489,-1491,8130,2874,5928,-3100,disgust
72,-52,-3416,-7457,-5363,-3372,-7631,-211,-2254,6834,7489,-1491,8130,2874,5928,-3100,disgust
-88,39,1263,-8086,-4606,-7528,2464,3632,7505,318,-7355,-5333,7343,348,-2313,607,disgust
-88,39,1263,-8086,-4606,-7528,2464,3632,7505,318,-7355,-5333,7343,348,-2313,607,disgust
-82,90,563,-6419,4580,8167,4638,-1495,3578,-2327,-7945,5678,398,-6286,8147,4363,disgust
-82,90,563,-6419,4580,8167,4638,-1495,3578,-2327,-7945,5678,398,-6286,8147,4363,disgust
107,137,4317,3431,-4472,-7822,3411,-2325,3567,-5114,-6528,-2553,-2138,1811,-2905,-6329,disgust
107,137,4317,3431,-4472,-7822,3411,-2325,3567,-5114,-6528,-2553,-2138,1811,-2905,-6329,disgust
-50,-41,3047,-3782,-4633,-5443,6032,634,5953,3819,6488,-1365,5182,5242,-981,7410,disgust
-50,-41,3047,-3782,-4633,-5443,6032,634,5953,3819,6488,-1365,5182,5242,-981,7410,disgust
125,111,1348,2468,2866,3122,-7115,-627,-6376,-7597,-3727,385,287,1379,6157,2805,disgust
125,111,1348,2468,2866,3122,-7115,-627,-6376,-7597,-3727,385,287,1379,6157,2805,disgust
-8,103,-375,6417,6189,2889,-1210,-1552,-7449,3399,-5578,-3299,-5317,2149,-3370,30,disgust
-8,103,-375,6417,6189,2889,-1210,-1552,-7449,3399,-5578,-3299,-5317,2149,-3370,30,disgust
-5,110,-3468,-2809,-2327,2161,-1094,-413,2564,577,-919,7996,-4820,3356,5458,-6398,disgust
-5,110,-3468,-2809,-2327,2161,-1094,-413,2564,577,-919,7996,-4820,3356,5458,-6398,disgust
-33,-58,6520,1113,-224,7473,-1893,-1445,-5896,-1033,-5498,1114,-714,-7035,4841,6,disgust
-33,-58,6520,1113,-224,7473,-1893,-1445,-5896,-1033,-5498,1114,-714,-7035,4841,6,disgust
-92,125,5279,-1658,7308,3451,-7621,7593,2263,841,-5129,-2526,4264,2011,-4910,-5173,disgust
-92,125,5279,-1658,7308,3451,-7621,7593,2263,841,-5129,-2526,4264,2011,-4910,-5173,disgust
-37,-5,6018,6321,6160,4478,-8190,-6985,2607,-5984,-6387,5257,1902,6212,-2658,1231,disgust
-37,-5,6018,6321,6160,4478,-8190,-6985,2607,-5984,-6387,5257,1902,6212,-2658,1231,disgust
42,67,1158,-1,-2032,1065,-5519,4163,7579,-7720,-7063,2296,7524,7900,-4595,-3756,disgust
42,67,1158,-1,-2032,1065,-5519,4163,7579,-7720,-7063,2296,7524,7900,-4595,-3756,disgust
38,-82,796,-5874,-2932,1063,4705,1449,-4979,1704,162,-4266,4727,-4663,6280,872,disgust
