Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
28,15,-4132,-2302,3642,5121,-3305,-4556,3337,6548,1026,5418,-6771,-1933,-39,1836,happy
28,15,-4132,-2302,3642,5121,-3305,-4556,3337,6548,1026,5418,-6771,-1933,-39,1836,happy
149,88,-5103,-7385,-3277,-4727,-7256,-5106,-4130,6011,-7076,3,159,-7767,-1947,-771,happy
149,88,-5103,-7385,-3277,-4727,-7256,-5106,-4130,6011,-7076,3,159,-7767,-1947,-771,happy
-79,56,-4878,-2385,7171,-459,-4256,5468,2851,-6849,-379,-2180,2921,-3306,1299,7679,happy
-79,56,-4878,-2385,7171,-459,-4256,5468,2851,-6849,-379,-2180,2921,-3306,1299,7679,happy
139,149,1858,-2137,1729,491,5680,-2451,5803,7366,-1540,6151,2879,-4837,3374,-7110,happy
139,149,1858,-2137,1729,491,5680,-2451,5803,7366,-1540,6151,2879,-4837,3374,-7110,happy
-86,141,-5365,-3329,-6016,-1804,-3709,6132,7130,5296,2373,6731,-6583,-4846,-3005,-5381,happy
-86,141,-5365,-3329,-6016,-1804,-3709,6132,7130,5296,2373,6731,-6583,-4846,-3005,-5381,happy
140,-30,-722,6266,2574,5442,1475,7092,-3146,3333,1827,-745,-3501,1954,-6793,7816,happy
140,-30,-722,6266,2574,5442,1475,7092,-3146,3333,1827,-745,-3501,1954,-6793,7816,happy
-64,1,1268,4721,3908,-1221,3210,7688,-2989,6248,6824,256,-4855,-7965,5662,-4164,happy
-64,1,1268,4721,3908,-1221,3210,7688,-2989,6248,6824,256,-4855,-7965,5662,-4164,happy
124,-49,-4807,98,-4051,926,-5464,-7337,2378,-4660,3804,-5472,-5351,-793,7624,4318,happy
124,-49,-4807,98,-4051,926,-5464,-7337,2378,-4660,3804,-5472,-5351,-793,7624,4318,happy
77,18,-420,-6760,-1372,151,6107,-5359,-3868,2072,1232,1045,-553,-7151,341,1853,happy
77,18,-420,-6760,-1372,151,6107,-5359,-3868,2072,1232,1045,-553,-7151,341,1853,happy
28,-6,-5748,-5634,3971,2852,-8084,-7371,6680,6927,2543,1985,-6773,2023,-749,1571,happy
28,-6,-5748,-5634,3971,2852,-8084,-7371,6680,6927,2543,1985,-6773,2023,-749,1571,happy
67,42,6374,-3464,1507,6190,3054,-7243,-3008,-6427,-4079,903,-4496,2173,-721,4008,happy
67,42,6374,-3464,1507,6190,3054,-7243,-3008,-6427,-4079,903,-4496,2173,-721,4008,happy
97,94,-5727,3458,6404,68,-5816,-5247,5715,-3510,-4731,5381,1326,-4578,-4920,6186,happy
97,94,-5727,3458,6404,68,-5816,-5247,5715,-3510,-4731,5381,1326,-4578,-4920,6186,happy
75,100,221,-4052,4868,814,-6692,4705,571,-4208,7099,-8139,687,-791,3860,-668,happy
75,100,221,-4052,4868,814,-6692,4705,571,-4208,7099,-8139,687,-791,3860,-668,happy
25,36,-7667,7219,3960,761,2820,3059,-5993,-2030,-6280,-3285,-572,7638,2510,7705,happy
25,36,-7667,7219,3960,761,2820,3059,-5993,-2030,-6280,-3285,-572,7638,2510,7705,happy
-77,-33,7912,6908,7243,-4302,-5008,-1955,4393,-2757,4620,-3288,-1440,7944,-5366,-562,happy
-77,-33,7912,6908,7243,-4302,-5008,-1955,4393,-2757,4620,-3288,-1440,7944,-5366,-562,happy
138,139,775,-2757,-1624,-3824,3585,-5934,1367,-1969,1612,4701,-422,-3863,5107,-3102,happy
138,139,775,-2757,-1624,-3824,3585,-5934,1367,-1969,1612,4701,-422,-3863,5107,-3102,happy
-47,-57,3822,2622,-5289,2910,7756,-270,-1874,4832,7381,4019,1049,-2952,-1729,-5851,happy
-47,-57,3822,2622,-5289,2910,7756,-270,-1874,4832,7381,4019,1049,-2952,-1729,-5851,happy
15,-74,-4446,1716,-7914,-2094,4886,-479,-4675,5161,-3468,-1400,1562,-438,-5203,3689,happy
15,-74,-4446,1716,-7914,-2094,4886,-479,-4675,5161,-3468,-1400,1562,-438,-5203,3689,happy
72,142,-7770,2793,1968,-4919,-3456,3409,6127,-3866,-2775,-1204,-1228,-6826,-4553,-361,happy
72,142,-7770,2793,1968,-4919,-3456,3409,6127,-3866,-2775,-1204,-1228,-6826,-4553,-361,happy
115,-47,-4571,-5661,-4203,3719,8080,7852,1392,5814,4964,7019,4913,-4155,-4877,-2590,happy
115,-47,-4571,-5661,-4203,3719,8080,7852,1392,5814,4964,7019,4913,-4155,-4877,-2590,happy
54,-54,1116,-2716,6054,610,-3049,7554,-5217,7436,-7925,-7320,-663,-3267,4614,5539,happy
54,-54,1116,-2716,6054,610,-3049,7554,-5217,7436,-7925,-7320,-663,-3267,4614,5539,happy
46,-23,-7047,-7085,7817,-1661,3799,-5199,-1249,5720,7962,-2614,5772,-4610,350,6654,happy
46,-23,-7047,-7085,7817,-1661,3799,-5199,-1249,5720,7962,-2614,5772,-4610,350,6654,happy
99,130,-4338,-5571,1225,-581,-1049,-5926,-5056,-5677,-6349,6627,-7152,1815,-5801,4200,happy
