Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-101,119,3366,-1239,-7959,7817,-3047,-7927,1181,5506,5452,945,1497,-8074,-572,-4838,disgust
-101,119,3366,-1239,-7959,7817,-3047,-7927,1181,5506,5452,945,1497,-8074,-572,-4838,disgust
80,87,7640,-322,3331,-268,-7463,4178,-2730,-5785,-1956,5416,3295,3863,-8026,-3436,disgust
80,87,7640,-322,3331,-268,-7463,4178,-2730,-5785,-1956,5416,3295,3863,-8026,-3436,disgust
42,3,2264,5304,7409,1995,-1749,-3933,5834,7985,6610,7192,4680,340,-4428,-4170,disgust
42,3,2264,5304,7409,1995,-1749,-3933,5834,7985,6610,7192,4680,340,-4428,-4170,disgust
-77,-69,1236,6096,3410,8034,1096,-5152,4683,7100,5398,-5533,7357,830,1340,4037,disgust
-77,-69,1236,6096,3410,8034,1096,-5152,4683,7100,5398,-5533,7357,830,1340,4037,disgust
138,60,-1824,-6696,-6875,-6460,-7158,-213,3687,-4258,7217,3298,-3738,-2162,5472,-1326,disgust
138,60,-1824,-6696,-6875,-6460,-7158,-213,3687,-4258,7217,3298,-3738,-2162,5472,-1326,disgust
-78,58,-4269,-2446,-894,7009,7456,997,-7495,-6534,-5241,-4339,-670,-66,-299,3136,disgust
-78,58,-4269,-2446,-894,7009,7456,997,-7495,-6534,-5241,-4339,-670,-66,-299,3136,disgust
-97,7,2755,-2945,-2815,-5170,5875,-2923,-5269,-4971,5500,5307,8107,489,7952,-6335,disgust
-97,7,2755,-2945,-2815,-5170,5875,-2923,-5269,-4971,5500,5307,8107,489,7952,-6335,disgust
93,-15,394,-3900,5467,-7213,6641,1844,1964,-635,-4340,-313,-934,-2229,186,7176,disgust
93,-15,394,-3900,5467,-7213,6641,1844,1964,-635,-4340,-313,-934,-2229,186,7176,disgust
71,51,-2157,-598,-2500,3041,3324,5872,313,-7604,873,8154,8134,2445,-5744,3048,disgust
