Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
97,110,7816,-2938,-106,-7011,4599,3603,3723,3225,6815,-1891,3140,7216,2563,5549,happy
97,110,7816,-2938,-106,-7011,4599,3603,3723,3225,6815,-1891,3140,7216,2563,5549,happy
118,-30,-8078,-4743,-7356,5523,-3192,-7798,-1829,6093,-719,2921,3781,-5088,1302,-5214,happy
118,-30,-8078,-4743,-7356,5523,-3192,-7798,-1829,6093,-719,2921,3781,-5088,1302,-5214,happy
150,43,-7295,7669,-5399,2881,5620,-395,5255,7626,-7839,-2939,-3798,-6008,2016,5116,happy
150,43,-7295,7669,-5399,2881,5620,-395,5255,7626,-7839,-2939,-3798,-6008,2016,5116,happy
50,-24,4632,4050,-6765,-5974,1827,-6603,6068,-5702,-5428,105,-5123,-2383,-297,200,happy
50,-24,4632,4050,-6765,-5974,1827,-6603,6068,-5702,-5428,105,-5123,-2383,-297,200,happy
144,-73,-5492,-2019,-2680,-1861,3900,-1702,-2736,1918,5484,-1595,3552,-7379,-743,3519,happy
144,-73,-5492,-2019,-2680,-1861,3900,-1702,-2736,1918,5484,-1595,3552,-7379,-743,3519,happy
36,-104,-6177,-3654,7239,-3350,-1235,3560,6914,-7877,-156,-2123,5918,4367,2992,-4226,happy
36,-104,-6177,-3654,7239,-3350,-1235,3560,6914,-7877,-156,-2123,5918,4367,2992,-4226,happy
68,50,-2131,4169,4781,706,6092,7614,7175,-7268,6701,-4870,7509,2492,-3958,-2903,happy
68,50,-2131,4169,4781,706,6092,7614,7175,-7268,6701,-4870,7509,2492,-3958,-2903,happy
51,3,47,7680,-396,-7825,3695,-2610,4412,5290,5427,-4602,-6987,-5755,-7693,-6437,happy
51,3,47,7680,-396,-7825,3695,-2610,4412,5290,5427,-4602,-6987,-5755,-7693,-6437,happy
81,28,-805,8048,4623,4596,-5356,569,-2073,-6520,3118,-6431,-1954,2034,-7718,3756,happy
81,28,-805,8048,4623,4596,-5356,569,-2073,-6520,3118,-6431,-1954,2034,-7718,3756,happy
85,9,-6598,5065,3523,4449,1074,7314,1295,3580,-1517,1965,6606,2826,7963,6524,happy
85,9,-6598,5065,3523,4449,1074,7314,1295,3580,-1517,1965,6606,2826,7963,6524,happy
35,125,5847,1310,5884,-47,6586,3177,-2139,-1291,7828,-1759,2239,-2212,-2221,-7510,happy
35,125,5847,1310,5884,-47,6586,3177,-2139,-1291,7828,-1759,2239,-2212,-2221,-7510,happy
40,104,6870,-2166,4607,-4395,1379,-2288,-2021,-6607,3362,-2585,3914,6909,819,-4825,happy
40,104,6870,-2166,4607,-4395,1379,-2288,-2021,-6607,3362,-2585,3914,6909,819,-4825,happy
-63,106,-4812,7581,5821,-1499,-7258,5104,-5681,146,-5583,-4140,7577,888,3901,3011,happy
-63,106,-4812,7581,5821,-1499,-7258,5104,-5681,146,-5583,-4140,7577,888,3901,3011,happy
123,137,3805,5412,1045,-7105,-5907,-2647,5916,7713,-7664,6369,6945,-5376,-1401,7455,happy
123,137,3805,5412,1045,-7105,-5907,-2647,5916,7713,-7664,6369,6945,-5376,-1401,7455,happy
60,1,4553,-4234,-4153,7989,-165,6683,7480,-4153,-1116,931,3106,-3120,240,4231,happy
60,1,4553,-4234,-4153,7989,-165,6683,7480,-4153,-1116,931,3106,-3120,240,4231,happy
56,-89,-1114,-2922,3914,-2660,-5655,-7487,-2414,2016,5361,6570,-3147,-3453,3954,-7521,happy
56,-89,-1114,-2922,3914,-2660,-5655,-7487,-2414,2016,5361,6570,-3147,-3453,3954,-7521,happy
62,-4,-3871,5383,-7352,-6685,1580,-3137,-4771,-7598,-594,-1722,-672,4891,-424,-356,happy
62,-4,-3871,5383,-7352,-6685,1580,-3137,-4771,-7598,-594,-1722,-672,4891,-424,-356,happy
-32,70,1966,-5254,1585,5065,6947,-3650,3157,-1063,1013,-2202,6558,-6655,-1819,-1605,happy
-32,70,1966,-5254,1585,5065,6947,-3650,3157,-1063,1013,-2202,6558,-6655,-1819,-1605,happy
88,91,3709,3491,1477,-2254,5648,-2038,-3132,-5560,-3328,6591,-7626,7962,4625,6909,happy
88,91,3709,3491,1477,-2254,5648,-2038,-3132,-5560,-3328,6591,-7626,7962,4625,6909,happy
83,-56,7449,-7874,-1756,5294,-8189,-7692,-3721,-3724,-3821,-578,-561,-3790,-136,7662,happy
