Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-71,18,463,-1548,622,-929,792,-2982,-3303,1085,7204,5348,-1146,-4235,-2308,4724,disgust
-71,18,463,-1548,622,-929,792,-2982,-3303,1085,7204,5348,-1146,-4235,-2308,4724,disgust
97,141,-7489,6029,2578,-7110,-7673,-1803,-8133,-2998,-367,-1260,-2353,6659,-4956,1825,disgust
97,141,-7489,6029,2578,-7110,-7673,-1803,-8133,-2998,-367,-1260,-2353,6659,-4956,1825,disgust
2,56,7365,-6525,-3422,825,2451,-7332,-1557,-949,6101,5096,6235,7011,-2519,4063,disgust
2,56,7365,-6525,-3422,825,2451,-7332,-1557,-949,6101,5096,6235,7011,-2519,4063,disgust
-1,9,2379,2057,3070,-3233,3600,7297,-6006,6591,-4326,5966,-4430,-6220,-4383,851,disgust
-1,9,2379,2057,3070,-3233,3600,7297,-6006,6591,-4326,5966,-4430,-6220,-4383,851,disgust
-14,-48,-4473,5410,864,7568,3258,4050,3860,4629,2948,6329,-2231,-2124,7814,3343,disgust
-14,-48,-4473,5410,864,7568,3258,4050,3860,4629,2948,6329,-2231,-2124,7814,3343,disgust
-23,46,6128,522,5227,2141,7507,-6037,-3913,-3693,-5860,2840,2835,-7303,5089,509,disgust
-23,46,6128,522,5227,2141,7507,-6037,-3913,-3693,-5860,2840,2835,-7303,5089,509,disgust
142,-14,-1328,945,1346,-6856,522,-5151,-6174,2466,1413,4210,5132,-8089,108,6113,disgust
142,-14,-1328,945,1346,-6856,522,-5151,-6174,2466,1413,4210,5132,-8089,108,6113,disgust
119,67,-2176,2053,-7124,4458,-6643,6531,-1287,7995,7748,-2753,-7433,-1991,-4121,-3426,disgust
119,67,-2176,2053,-7124,4458,-6643,6531,-1287,7995,7748,-2753,-7433,-1991,-4121,-3426,disgust
3,-2,515,4597,-797,4194,-1473,-3868,7481,756,7467,-427,2426,7155,1026,-785,disgust
3,-2,515,4597,-797,4194,-1473,-3868,7481,756,7467,-427,2426,7155,1026,-785,disgust
-31,-58,-6101,5174,-7064,3860,-4970,7029,-1371,-4309,-2531,6543,-3496,915,4587,-1954,disgust
-31,-58,-6101,5174,-7064,3860,-4970,7029,-1371,-4309,-2531,6543,-3496,915,4587,-1954,disgust
-38,-71,7958,7474,-2430,5118,-3727,-770,4670,3254,-5309,1571,3461,4491,-6049,5437,disgust
-38,-71,7958,7474,-2430,5118,-3727,-770,4670,3254,-5309,1571,3461,4491,-6049,5437,disgust
59,-92,-4712,4435,591,-3074,-5245,8130,-1972,5425,3194,1815,-2664,-5415,4131,-3575,disgust
59,-92,-4712,4435,591,-3074,-5245,8130,-1972,5425,3194,1815,-2664,-5415,4131,-3575,disgust
-67,130,622,-7514,-7355,4730,2918,-7272,-4621,4256,2557,-3654,-4229,-220,3645,7877,disgust
-67,130,622,-7514,-7355,4730,2918,-7272,-4621,4256,2557,-3654,-4229,-220,3645,7877,disgust
45,-75,-1854,277,-141,-3872,-1420,-7588,-4175,-2335,-5518,7857,7055,-6777,1554,1995,disgust
45,-75,-1854,277,-141,-3872,-1420,-7588,-4175,-2335,-5518,7857,7055,-6777,1554,1995,disgust
25,3,5204,5731,6242,-3299,-1517,5324,182,-5566,2992,-6499,-534,-5210,-2894,-5250,disgust
25,3,5204,5731,6242,-3299,-1517,5324,182,-5566,2992,-6499,-534,-5210,-2894,-5250,disgust
88,-87,-7431,-2801,-7329,2608,231,891,7463,-3811,-980,7006,1019,-2651,27,-25,disgust
88,-87,-7431,-2801,-7329,2608,231,891,7463,-3811,-980,7006,1019,-2651,27,-25,disgust
-88,12,4156,877,-6444,-7341,-7560,-570,6901,3938,-7765,-1102,3832,-7597,-3147,6497,disgust
-88,12,4156,877,-6444,-7341,-7560,-570,6901,3938,-7765,-1102,3832,-7597,-3147,6497,disgust
138,83,3170,-3934,-4852,1885,5828,-3922,-2993,-2790,3374,7997,-1816,7234,-2967,4540,disgust
138,83,3170,-3934,-4852,1885,5828,-3922,-2993,-2790,3374,7997,-1816,7234,-2967,4540,disgust
-19,118,-2309,7732,1430,6508,6184,2916,5133,-2210,4252,-3559,5192,-7986,3375,-3251,disgust
-19,118,-2309,7732,1430,6508,6184,2916,5133,-2210,4252,-3559,5192,-7986,3375,-3251,disgust
95,103,-4632,1484,-143,5487,4539,2182,7987,-2999,2968,-5210,4481,-6023,3585,-3585,disgust
95,103,-4632,1484,-143,5487,4539,2182,7987,-2999,2968,-5210,4481,-6023,3585,-3585,disgust
8,140,5902,6679,773,679,-5582,-2399,3667,6256,4745,-7427,-2069,57,5800,-5166,disgust
8,140,5902,6679,773,679,-5582,-2399,3667,6256,4745,-7427,-2069,57,5800,-5166,disgust
150,57,5304,1510,-4462,4373,4637,4283,7705,7952,-2826,-3749,4783,3296,781,-8169,disgust
150,57,5304,1510,-4462,4373,4637,4283,7705,7952,-2826,-3749,4783,3296,781,-8169,disgust
11,-16,1888,-4117,5104,-6115,-4184,-4656,1793,949,6451,5393,-3486,900,-3944,758,disgust
11,-16,1888,-4117,5104,-6115,-4184,-4656,1793,949,6451,5393,-3486,900,-3944,758,disgust
-33,63,-4185,7266,4315,-4046,5553,-6527,1083,-1653,-2862,1484,7692,4330,7234,2290,disgust
