Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,disgut
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,disgut
147,48,5799,-7783,3962,2257,4808,4783,7232,1332,-6415,-6344,5810,282,-2285,1038,disgut
147,48,5799,-7783,3962,2257,4808,4783,7232,1332,-6415,-6344,5810,282,-2285,1038,disgut
56,-90,8100,-6462,-7752,-266,-3865,5124,-232,338,-7554,-5631,-3938,-5413,-5992,-2026,disgut
56,-90,8100,-6462,-7752,-266,-3865,5124,-232,338,-7554,-5631,-3938,-5413,-5992,-2026,disgut
-43,4,5409,6045,5244,-1158,6813,-1357,2936,2095,-6145,2550,-6303,741,-1277,-3118,disgut
-43,4,5409,6045,5244,-1158,6813,-1357,2936,2095,-6145,2550,-6303,741,-1277,-3118,disgut
135,-45,7912,-1113,-448,5317,-3831,-7465,412,-2638,816,-1083,5578,6907,6468,7535,disgut
135,-45,7912,-1113,-448,5317,-3831,-7465,412,-2638,816,-1083,5578,6907,6468,7535,disgut
39,-80,5208,-5416,4499,-2454,-6519,3982,-109,-565,1523,628,-3765,-2544,3989,-3804,disgut
39,-80,5208,-5416,4499,-2454,-6519,3982,-109,-565,1523,628,-3765,-2544,3989,-3804,disgut
140,-7,-4925,-7848,-979,-5520,-5791,2496,-1882,3695,7721,-5314,2440,-3062,7638,4750,disgut
140,-7,-4925,-7848,-979,-5520,-5791,2496,-1882,3695,7721,-5314,2440,-3062,7638,4750,disgut
99,58,-5763,-8088,-5772,334,336,-3796,-1920,-2320,-3926,-1115,2690,-421,-6040,7651,disgut
99,58,-5763,-8088,-5772,334,336,-3796,-1920,-2320,-3926,-1115,2690,-421,-6040,7651,disgut
136,82,-1643,-4338,-5585,287,-7054,-6909,-5404,5646,-3357,517,-275,-4540,4758,-4581,disgut
136,82,-1643,-4338,-5585,287,-7054,-6909,-5404,5646,-3357,517,-275,-4540,4758,-4581,disgut
22,76,-4891,-3067,-572,425,-275,4736,5829,-3776,-1082,6188,2549,-6181,-4885,1871,disgut
22,76,-4891,-3067,-572,425,-275,4736,5829,-3776,-1082,6188,2549,-6181,-4885,1871,disgut
51,7,2676,-1900,2021,-2395,-6919,-3023,7217,-6401,-5981,1859,-3350,-2666,-3492,3065,disgut
51,7,2676,-1900,2021,-2395,-6919,-3023,7217,-6401,-5981,1859,-3350,-2666,-3492,3065,disgut
-87,-48,-3273,90,1918,-7982,-2021,-7627,-7278,6979,-7349,-1503,6757,-1252,-6328,-6710,disgut
-87,-48,-3273,90,1918,-7982,-2021,-7627,-7278,6979,-7349,-1503,6757,-1252,-6328,-6710,disgut
-96,100,-2053,5441,-272,-3503,3086,2376,-4924,-7257,-1965,-1921,5076,-1798,-2571,844,disgut
-96,100,-2053,5441,-272,-3503,3086,2376,-4924,-7257,-1965,-1921,5076,-1798,-2571,844,disgut
-50,-73,4005,7620,-3185,5183,2167,-931,7198,7377,-3304,-1985,6369,-7088,-7262,8169,disgut
-50,-73,4005,7620,-3185,5183,2167,-931,7198,7377,-3304,-1985,6369,-7088,-7262,8169,disgut
12,30,-7493,-3183,-5094,26,-6448,-1452,1824,495,-425,5112,2377,-5704,1658,-2399,disgut
12,30,-7493,-3183,-5094,26,-6448,-1452,1824,495,-425,5112,2377,-5704,1658,-2399,disgut
