Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
6,14,5528,5135,4238,3466,3943,-7528,-2478,959,303,7487,6629,3756,-1832,-3295,happy
6,14,5528,5135,4238,3466,3943,-7528,-2478,959,303,7487,6629,3756,-1832,-3295,happy
65,-15,-1535,2271,4117,899,4355,6833,4534,237,-5901,-8163,6938,7364,2043,-6069,happy
65,-15,-1535,2271,4117,899,4355,6833,4534,237,-5901,-8163,6938,7364,2043,-6069,happy
7,15,-2623,-4444,-1646,4589,-5090,-4272,-4475,-7135,3400,-3630,-6858,6955,-2097,4406,happy
7,15,-2623,-4444,-1646,4589,-5090,-4272,-4475,-7135,3400,-3630,-6858,6955,-2097,4406,happy
91,-1,-7936,6067,3716,-3718,3259,1838,4921,1189,2016,372,2238,-1161,-1958,291,happy
91,-1,-7936,6067,3716,-3718,3259,1838,4921,1189,2016,372,2238,-1161,-1958,291,happy
134,-61,-3154,-6068,-4664,6262,-6405,-5160,2682,-7072,2837,-6754,1662,-3933,-7362,-6813,happy
134,-61,-3154,-6068,-4664,6262,-6405,-5160,2682,-7072,2837,-6754,1662,-3933,-7362,-6813,happy
135,55,3144,3930,4479,-3023,-5330,970,1457,1860,-3334,5880,536,4173,-6555,-6450,happy
135,55,3144,3930,4479,-3023,-5330,970,1457,1860,-3334,5880,536,4173,-6555,-6450,happy
71,128,-372,-4179,7259,-1784,-3286,-1326,5142,-4980,7265,-2042,6548,-4863,-2793,818,happy
71,128,-372,-4179,7259,-1784,-3286,-1326,5142,-4980,7265,-2042,6548,-4863,-2793,818,happy
-74,-70,-1435,5518,-7587,-1128,-7553,371,5130,4761,-3096,7106,-6360,-4327,7731,-495,happy
-74,-70,-1435,5518,-7587,-1128,-7553,371,5130,4761,-3096,7106,-6360,-4327,7731,-495,happy
2,38,5721,-5585,3426,4356,6549,986,4790,1938,6927,4113,-4119,-7222,-6310,-5933,happy
2,38,5721,-5585,3426,4356,6549,986,4790,1938,6927,4113,-4119,-7222,-6310,-5933,happy
17,-70,4924,-3917,-12,2643,-7826,-5764,-438,5592,6639,-5430,4399,4220,-2812,3359,happy
17,-70,4924,-3917,-12,2643,-7826,-5764,-438,5592,6639,-5430,4399,4220,-2812,3359,happy
87,132,4871,3012,4075,441,-2144,-2807,-972,1740,-5792,-5673,-1006,7233,5298,4341,happy
87,132,4871,3012,4075,441,-2144,-2807,-972,1740,-5792,-5673,-1006,7233,5298,4341,happy
-34,140,-560,1033,6151,3654,506,170,-7509,-7923,5970,1341,-1587,-1556,7458,6305,happy
-34,140,-560,1033,6151,3654,506,170,-7509,-7923,5970,1341,-1587,-1556,7458,6305,happy
-98,106,-4075,7968,-876,-4176,5028,6062,-5441,-3040,-1163,4978,-4102,-5269,-3919,3794,happy
-98,106,-4075,7968,-876,-4176,5028,6062,-5441,-3040,-1163,4978,-4102,-5269,-3919,3794,happy
-90,-95,-750,-1861,7288,7271,-3663,1693,-4379,57,-4996,-4688,-3139,5346,788,-1850,happy
-90,-95,-750,-1861,7288,7271,-3663,1693,-4379,57,-4996,-4688,-3139,5346,788,-1850,happy
-51,16,4643,2926,8108,941,3906,-1823,-3171,5999,3297,5319,7063,2276,693,-1432,happy
-51,16,4643,2926,8108,941,3906,-1823,-3171,5999,3297,5319,7063,2276,693,-1432,happy
33,-103,-6481,-950,-7279,797,-5621,-2458,-3628,7581,5434,796,5388,7795,-5172,3788,happy
33,-103,-6481,-950,-7279,797,-5621,-2458,-3628,7581,5434,796,5388,7795,-5172,3788,happy
-57,44,8119,-6903,-4223,-6755,-2692,-6578,-2208,4334,1208,3435,412,867,-4424,-7332,happy
-57,44,8119,-6903,-4223,-6755,-2692,-6578,-2208,4334,1208,3435,412,867,-4424,-7332,happy
56,41,-2390,-357,1474,-5720,-8127,-7691,3213,-2427,2129,-3315,382,-5323,-2200,1993,happy
56,41,-2390,-357,1474,-5720,-8127,-7691,3213,-2427,2129,-3315,382,-5323,-2200,1993,happy
-55,9,1338,2407,3680,7541,240,6604,4024,-4963,-2650,-1227,-7088,-3106,-3153,2693,happy
-55,9,1338,2407,3680,7541,240,6604,4024,-4963,-2650,-1227,-7088,-3106,-3153,2693,happy
-97,47,2901,-591,2553,-6838,3949,4503,-7241,-6348,1801,-4758,807,3962,2882,4389,happy
-97,47,2901,-591,2553,-6838,3949,4503,-7241,-6348,1801,-4758,807,3962,2882,4389,happy
148,-78,7782,-5005,-353,-4926,-6936,7326,-7271,250,-5441,-92,4216,-3916,2037,-1819,happy
148,-78,7782,-5005,-353,-4926,-6936,7326,-7271,250,-5441,-92,4216,-3916,2037,-1819,happy
43,86,-89,-741,-4412,7845,-3575,7274,-7523,6212,7697,3386,5954,-3849,-6496,1150,happy
