Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37,147,-7063,4819,-826,-7582,-4773,2270,-328,3117,5455,-4411,-6177,1919,1236,1631,0
-37,147,-7063,4819,-826,-7582,-4773,2270,-328,3117,5455,-4411,-6177,1919,1236,1631,0
-61,133,-7328,-4353,3961,2876,5115,-2369,2119,-5177,2908,773,1670,1895,7089,-3597,0
-61,133,-7328,-4353,3961,2876,5115,-2369,2119,-5177,2908,773,1670,1895,7089,-3597,0
112,23,2874,-1210,7232,-4647,5941,2502,7021,-1972,4210,-3562,-7523,-319,7373,-5129,0
112,23,2874,-1210,7232,-4647,5941,2502,7021,-1972,4210,-3562,-7523,-319,7373,-5129,0
7,-21,5157,-6662,-1966,-8177,-7533,1465,-3531,-7939,-3558,976,-4836,-70,4971,-4855,0
7,-21,5157,-6662,-1966,-8177,-7533,1465,-3531,-7939,-3558,976,-4836,-70,4971,-4855,0
89,-37,-3339,3751,42,-7923,2257,-7593,-5972,-3873,2414,1343,4871,3678,5158,7553,0
89,-37,-3339,3751,42,-7923,2257,-7593,-5972,-3873,2414,1343,4871,3678,5158,7553,0
11,70,-1616,8110,3401,-5425,-1408,-1448,7154,-4071,-6320,-1506,-311,-1600,5784,1542,0
11,70,-1616,8110,3401,-5425,-1408,-1448,7154,-4071,-6320,-1506,-311,-1600,5784,1542,0
-45,70,-5164,3216,449,3954,6687,5438,-1178,-4595,-3608,-7639,5203,265,3693,6630,0
-45,70,-5164,3216,449,3954,6687,5438,-1178,-4595,-3608,-7639,5203,265,3693,6630,0
146,-51,3624,4390,-8082,6957,3989,3319,2341,338,258,8167,5964,2654,-7136,-8045,0
146,-51,3624,4390,-8082,6957,3989,3319,2341,338,258,8167,5964,2654,-7136,-8045,0
102,13,4443,-1962,-1878,41,-8168,-6785,4094,8094,-197,-718,-5668,3638,-4282,4537,0
102,13,4443,-1962,-1878,41,-8168,-6785,4094,8094,-197,-718,-5668,3638,-4282,4537,0
-91,-18,-6739,-772,-2903,3540,2572,-7081,-2254,-1449,-6550,-2610,-1719,-4114,7741,-807,0
-91,-18,-6739,-772,-2903,3540,2572,-7081,-2254,-1449,-6550,-2610,-1719,-4114,7741,-807,0
75,79,-4555,5963,1765,-1144,487,-4923,6121,-2422,2399,-3353,5993,-2350,-5136,-5152,0
75,79,-4555,5963,1765,-1144,487,-4923,6121,-2422,2399,-3353,5993,-2350,-5136,-5152,0
47,90,7856,6938,-1835,-3790,478,5984,6582,902,-1770,3539,2928,221,-7046,-216,0
47,90,7856,6938,-1835,-3790,478,5984,6582,902,-1770,3539,2928,221,-7046,-216,0
63,73,-2471,-7723,6334,1211,4723,2739,5058,3261,6904,-2214,3657,-2474,-7371,3951,0
63,73,-2471,-7723,6334,1211,4723,2739,5058,3261,6904,-2214,3657,-2474,-7371,3951,0
49,32,2851,-4096,2336,-5207,3089,6147,-7905,-4154,-1246,-5674,-2484,3309,-5960,2740,0
49,32,2851,-4096,2336,-5207,3089,6147,-7905,-4154,-1246,-5674,-2484,3309,-5960,2740,0
145,92,-698,-4633,4056,-6786,69,-3536,3658,-5154,8001,3373,-891,3197,-7576,2884,0
145,92,-698,-4633,4056,-6786,69,-3536,3658,-5154,8001,3373,-891,3197,-7576,2884,0
-30,119,3464,4248,7768,-823,-7444,2208,4429,2163,1700,-6458,-2427,859,2287,5245,0
-30,119,3464,4248,7768,-823,-7444,2208,4429,2163,1700,-6458,-2427,859,2287,5245,0
97,-11,6266,7489,794,943,2870,6201,-1027,-6895,-1813,-7809,-3207,5708,2407,-3872,0
97,-11,6266,7489,794,943,2870,6201,-1027,-6895,-1813,-7809,-3207,5708,2407,-3872,0
113,87,1049,-712,-7303,-4509,-7243,6565,7665,-188,5566,2092,-425,-795,-2222,-1399,0
113,87,1049,-712,-7303,-4509,-7243,6565,7665,-188,5566,2092,-425,-795,-2222,-1399,0
-12,89,5569,5252,-2624,1041,-141,227,2445,-2419,3051,-6114,-245,4288,1528,4465,0
-12,89,5569,5252,-2624,1041,-141,227,2445,-2419,3051,-6114,-245,4288,1528,4465,0
-87,-99,4060,-6368,-7840,5552,4535,-3641,-2715,-7434,-3585,3796,5837,7513,2042,-3460,0
-87,-99,4060,-6368,-7840,5552,4535,-3641,-2715,-7434,-3585,3796,5837,7513,2042,-3460,0
-44,-93,6540,4085,-7516,6275,4045,-3519,-6739,-6468,493,4569,-1322,-3212,-4219,-6926,0
-44,-93,6540,4085,-7516,6275,4045,-3519,-6739,-6468,493,4569,-1322,-3212,-4219,-6926,0
-9,-75,7981,2501,-2473,3957,3886,-3563,4880,-2454,-1456,-1278,-717,-2489,6288,4628,0
-9,-75,7981,2501,-2473,3957,3886,-3563,4880,-2454,-1456,-1278,-717,-2489,6288,4628,0
-97,-92,-7484,-7942,-4635,786,4153,17,7782,-2735,3641,-6574,-4654,-3100,5191,2334,0
-97,-92,-7484,-7942,-4635,786,4153,17,7782,-2735,3641,-6574,-4654,-3100,5191,2334,0
130,-3,5651,252,-7171,7250,3209,-6799,7572,-3914,-4090,4481,293,3423,-4344,-767,0
130,-3,5651,252,-7171,7250,3209,-6799,7572,-3914,-4090,4481,293,3423,-4344,-767,0
23,4,-6531,6467,-2597,862,1475,-5171,565,6925,3217,-6060,-2559,-172,-7864,1401,0
23,4,-6531,6467,-2597,862,1475,-5171,565,6925,3217,-6060,-2559,-172,-7864,1401,0
-19,51,1639,-1723,-8175,-2590,-5252,-4284,-484,1025,1211,-2854,-4387,-2939,2733,4089,0
-19,51,1639,-1723,-8175,-2590,-5252,-4284,-484,1025,1211,-2854,-4387,-2939,2733,4089,0
-73,44,7805,1004,3115,-1546,411,-561,-378,410,7722,74,-2258,-1289,-7910,-143,0
-73,44,7805,1004,3115,-1546,411,-561,-378,410,7722,74,-2258,-1289,-7910,-143,0
-11,10,-3896,4838,-495,-3227,856,3379,5307,7534,-2095,-2219,-1632,456,6181,-7650,0
-11,10,-3896,4838,-495,-3227,856,3379,5307,7534,-2095,-2219,-1632,456,6181,-7650,0
-37,63,-4655,-6789,-7899,2620,-6120,-1786,2198,-4183,-6482,-2168,-677,1937,347,6280,0
-37,63,-4655,-6789,-7899,2620,-6120,-1786,2198,-4183,-6482,-2168,-677,1937,347,6280,0
143,56,3986,2605,730,2586,5379,4067,4220,-2356,160,-2407,-3203,514,3751,-4844,0
143,56,3986,2605,730,2586,5379,4067,4220,-2356,160,-2407,-3203,514,3751,-4844,0
66,84,3593,-3075,4778,-7749,-3947,-6946,5192,5337,6634,-7842,-7592,-5804,-976,-8029,0
66,84,3593,-3075,4778,-7749,-3947,-6946,5192,5337,6634,-7842,-7592,-5804,-976,-8029,0
48,-64,2269,-883,-5142,-5634,-7737,-1789,2701,4109,-1342,378,6602,4164,1141,7087,0
48,-64,2269,-883,-5142,-5634,-7737,-1789,2701,4109,-1342,378,6602,4164,1141,7087,0
84,-25,4867,8138,4765,-643,187,616,-4527,-7560,4025,-2150,424,7595,1302,-6811,0
84,-25,4867,8138,4765,-643,187,616,-4527,-7560,4025,-2150,424,7595,1302,-6811,0
-18,-103,4215,-2774,-3689,4726,-3736,-6465,-6378,-5818,1089,-5382,1190,-6459,-4447,-1201,0
-18,-103,4215,-2774,-3689,4726,-3736,-6465,-6378,-5818,1089,-5382,1190,-6459,-4447,-1201,0
36,-62,2515,-4232,2035,-2175,-301,7785,6076,3624,-7264,1431,282,272,-4469,-4210,0
36,-62,2515,-4232,2035,-2175,-301,7785,6076,3624,-7264,1431,282,272,-4469,-4210,0
-65,-54,8025,630,-6223,7313,-7299,2489,1643,-2386,-160,7125,-7294,7747,-4606,-5802,0
-65,-54,8025,630,-6223,7313,-7299,2489,1643,-2386,-160,7125,-7294,7747,-4606,-5802,0
-103,54,-4103,989,3477,3299,7410,4118,2604,-5475,3821,-8100,-2731,408,-632,7814,0
-103,54,-4103,989,3477,3299,7410,4118,2604,-5475,3821,-8100,-2731,408,-632,7814,0
75,30,1845,6077,-5156,-3368,-677,306,-4250,-5122,-2620,4499,3624,-7444,6963,-6065,0
75,30,1845,6077,-5156,-3368,-677,306,-4250,-5122,-2620,4499,3624,-7444,6963,-6065,0
103,39,-4545,8021,-7630,-5292,1675,1225,7909,6376,-7161,-1528,5177,7428,6770,5312,0
103,39,-4545,8021,-7630,-5292,1675,1225,7909,6376,-7161,-1528,5177,7428,6770,5312,0
-21,-1,-3740,1947,3099,-494,5979,-2048,789,-2513,-6867,-2502,-4047,1965,-5686,1514,0
-21,-1,-3740,1947,3099,-494,5979,-2048,789,-2513,-6867,-2502,-4047,1965,-5686,1514,0
-62,125,6876,3004,6201,-2042,2134,-5486,4268,2303,4161,-1199,-5406,-16,45,-6836,0
-62,125,6876,3004,6201,-2042,2134,-5486,4268,2303,4161,-1199,-5406,-16,45,-6836,0
134,-37,-956,-1582,5562,4178,-5066,4623,6866,923,-6364,5338,1840,-2151,-2263,6582,0
134,-37,-956,-1582,5562,4178,-5066,4623,6866,923,-6364,5338,1840,-2151,-2263,6582,0
-90,119,-15,8025,1050,660,-5990,-2272,-6760,1440,3354,-419,5129,5953,-4380,-5009,0
-90,119,-15,8025,1050,660,-5990,-2272,-6760,1440,3354,-419,5129,5953,-4380,-5009,0
33,53,-1008,2341,-5814,4790,-4894,-3397,3592,-4746,6386,-1626,-280,-4659,-1381,7614,0
33,53,-1008,2341,-5814,4790,-4894,-3397,3592,-4746,6386,-1626,-280,-4659,-1381,7614,0
-78,-52,-601,-5802,3350,-1426,1268,-5805,7292,-3796,114,3976,-4602,1611,-454,324,0
-78,-52,-601,-5802,3350,-1426,1268,-5805,7292,-3796,114,3976,-4602,1611,-454,324,0
38,34,7165,-1916,-3725,5850,-2225,-4300,6487,6676,8113,1256,4497,-5201,-5816,246,0
38,34,7165,-1916,-3725,5850,-2225,-4300,6487,6676,8113,1256,4497,-5201,-5816,246,0
