Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
70,-3,1089,5705,3498,6595,6606,-812,-5465,5275,3051,2274,7942,-2224,5590,5420,disgust
70,-3,1089,5705,3498,6595,6606,-812,-5465,5275,3051,2274,7942,-2224,5590,5420,disgust
-82,71,1962,-2463,5915,1436,5579,3251,2586,3117,-6608,-7413,-2166,-2386,-723,-6216,disgust
-82,71,1962,-2463,5915,1436,5579,3251,2586,3117,-6608,-7413,-2166,-2386,-723,-6216,disgust
144,4,-6124,6602,1789,1531,6617,-5845,7551,-6760,-6839,-2488,-2552,-2141,-5837,-7372,disgust
144,4,-6124,6602,1789,1531,6617,-5845,7551,-6760,-6839,-2488,-2552,-2141,-5837,-7372,disgust
-27,97,-7327,4606,-7172,1343,4879,5160,699,-2378,5782,2536,-621,-1993,-6486,-7601,disgust
-27,97,-7327,4606,-7172,1343,4879,5160,699,-2378,5782,2536,-621,-1993,-6486,-7601,disgust
43,118,3695,4174,4488,5593,4309,5279,-2051,-5890,-6057,1166,-1563,-3264,-4295,6565,disgust
43,118,3695,4174,4488,5593,4309,5279,-2051,-5890,-6057,1166,-1563,-3264,-4295,6565,disgust
-50,92,6960,-2301,6806,-2261,6099,-7404,24,-639,-1531,-7176,-4009,6854,-1007,3058,disgust
-50,92,6960,-2301,6806,-2261,6099,-7404,24,-639,-1531,-7176,-4009,6854,-1007,3058,disgust
-84,-63,-7924,-7515,-7267,6468,-4868,3287,-2902,-1057,5777,2578,7401,4721,-6862,1267,disgust
-84,-63,-7924,-7515,-7267,6468,-4868,3287,-2902,-1057,5777,2578,7401,4721,-6862,1267,disgust
2,-83,-6093,2081,-3784,-7423,2422,-7883,1367,7752,6321,2843,-5100,753,6937,8063,disgust
2,-83,-6093,2081,-3784,-7423,2422,-7883,1367,7752,6321,2843,-5100,753,6937,8063,disgust
53,73,-448,4790,7500,7817,2915,2436,-4469,-7013,2901,3711,7158,613,6509,788,disgust
53,73,-448,4790,7500,7817,2915,2436,-4469,-7013,2901,3711,7158,613,6509,788,disgust
123,-71,-1467,5718,-5498,-5236,-6902,-421,-2757,-908,1056,4481,149,6914,7880,-4665,disgust
123,-71,-1467,5718,-5498,-5236,-6902,-421,-2757,-908,1056,4481,149,6914,7880,-4665,disgust
-91,33,4394,171,-4236,-3444,1574,-5946,2443,-7068,7323,3838,-1553,-3014,6396,701,disgust
-91,33,4394,171,-4236,-3444,1574,-5946,2443,-7068,7323,3838,-1553,-3014,6396,701,disgust
-51,-69,176,6390,-7113,-2050,-5940,5757,6725,5957,1838,-4885,-872,-4439,-6574,7342,disgust
-51,-69,176,6390,-7113,-2050,-5940,5757,6725,5957,1838,-4885,-872,-4439,-6574,7342,disgust
-41,-34,-2374,728,3384,6831,7215,-2626,-2896,-6519,3709,-3152,-1075,7797,7578,-4861,disgust
-41,-34,-2374,728,3384,6831,7215,-2626,-2896,-6519,3709,-3152,-1075,7797,7578,-4861,disgust
128,77,-2621,-1058,7618,-5162,3865,4013,-2933,-3079,-2380,-3983,-7010,-5522,-6808,-8054,disgust
128,77,-2621,-1058,7618,-5162,3865,4013,-2933,-3079,-2380,-3983,-7010,-5522,-6808,-8054,disgust
-49,92,3956,-6880,-2560,-1467,-7893,3666,5759,5654,1487,-1670,-5933,-4067,-2890,6297,disgust
-49,92,3956,-6880,-2560,-1467,-7893,3666,5759,5654,1487,-1670,-5933,-4067,-2890,6297,disgust
-55,-89,616,-3076,3756,4260,-751,1891,6025,-3722,1306,-3174,-2252,866,7386,6014,disgust
-55,-89,616,-3076,3756,4260,-751,1891,6025,-3722,1306,-3174,-2252,866,7386,6014,disgust
-102,-95,-8064,-4451,5521,748,3557,-8179,2392,-3424,5151,-573,-4865,-6242,8119,-4031,disgust
-102,-95,-8064,-4451,5521,748,3557,-8179,2392,-3424,5151,-573,-4865,-6242,8119,-4031,disgust
36,-57,4061,7216,-2784,1456,-491,-880,-6231,2231,-6447,5611,2786,4873,-3677,-7773,disgust
36,-57,4061,7216,-2784,1456,-491,-880,-6231,2231,-6447,5611,2786,4873,-3677,-7773,disgust
-11,7,-5501,-6183,-4040,3165,-5514,-2159,7903,-1712,5766,5743,4063,-3286,8181,-6861,disgust
-11,7,-5501,-6183,-4040,3165,-5514,-2159,7903,-1712,5766,5743,4063,-3286,8181,-6861,disgust
43,-30,1099,-599,6860,625,-7202,4446,-5922,-6773,2892,3649,6742,4951,-2092,-6321,disgust
43,-30,1099,-599,6860,625,-7202,4446,-5922,-6773,2892,3649,6742,4951,-2092,-6321,disgust
56,123,-6175,6324,-6037,-1434,-7278,5918,2256,4496,4697,-2893,-2087,-3703,-2753,4256,disgust
56,123,-6175,6324,-6037,-1434,-7278,5918,2256,4496,4697,-2893,-2087,-3703,-2753,4256,disgust
-12,64,-4431,2933,1686,7802,-6112,-7693,709,-4435,3805,2536,2927,6208,-4209,4799,disgust
-12,64,-4431,2933,1686,7802,-6112,-7693,709,-4435,3805,2536,2927,6208,-4209,4799,disgust
-35,104,-4962,1159,7984,4224,-2849,-2110,-7832,5613,-3334,-429,-7202,-7666,5541,-2533,disgust
-35,104,-4962,1159,7984,4224,-2849,-2110,-7832,5613,-3334,-429,-7202,-7666,5541,-2533,disgust
-72,10,-3771,1233,5504,-8138,-3215,2792,6169,-5416,-4326,1992,190,5295,-1888,-5047,disgust
-72,10,-3771,1233,5504,-8138,-3215,2792,6169,-5416,-4326,1992,190,5295,-1888,-5047,disgust
