Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
-77,127,1858,-5508,533,-6688,-3744,5808,715,-4946,-2014,-1719,6214,3415,4211,-4479,happy
-77,127,1858,-5508,533,-6688,-3744,5808,715,-4946,-2014,-1719,6214,3415,4211,-4479,happy
59,6,-3797,-3443,2713,3593,441,-2984,-658,-3110,-2528,-3378,8114,-7994,-7660,-2619,happy
59,6,-3797,-3443,2713,3593,441,-2984,-658,-3110,-2528,-3378,8114,-7994,-7660,-2619,happy
86,22,1129,-3299,3724,-5101,4496,7151,1781,-3761,4693,1843,694,-1188,664,-3630,happy
86,22,1129,-3299,3724,-5101,4496,7151,1781,-3761,4693,1843,694,-1188,664,-3630,happy
-100,-89,-4485,-2974,-2501,-4862,6756,-2187,-1575,-3193,-1162,6236,7695,-5163,-5870,5942,happy
-100,-89,-4485,-2974,-2501,-4862,6756,-2187,-1575,-3193,-1162,6236,7695,-5163,-5870,5942,happy
-34,-64,4271,-5959,3099,-3341,-1275,6683,5986,340,-381,-5195,2672,-3710,2618,2140,happy
-34,-64,4271,-5959,3099,-3341,-1275,6683,5986,340,-381,-5195,2672,-3710,2618,2140,happy
-38,-59,1755,-3512,-2956,-3782,378,-3383,2590,-559,1320,3371,-3751,663,-6312,-5587,happy
-38,-59,1755,-3512,-2956,-3782,378,-3383,2590,-559,1320,3371,-3751,663,-6312,-5587,happy
-60,-55,10,1432,-7439,4285,6979,6383,7119,7920,-1244,3644,2854,6574,-4320,-5820,happy
-60,-55,10,1432,-7439,4285,6979,6383,7119,7920,-1244,3644,2854,6574,-4320,-5820,happy
140,88,8063,-4594,6850,890,-7031,6780,-6111,-5219,247,2441,7342,-5973,-4991,6798,happy
140,88,8063,-4594,6850,890,-7031,6780,-6111,-5219,247,2441,7342,-5973,-4991,6798,happy
14,122,6716,-7983,-3913,54,7562,-7049,-1293,1799,-4930,1684,6828,-5913,-4182,-964,happy
14,122,6716,-7983,-3913,54,7562,-7049,-1293,1799,-4930,1684,6828,-5913,-4182,-964,happy
-76,19,-6849,4206,928,-91,-3997,-5690,159,-4062,-1344,1571,-779,7718,4889,-4303,happy
-76,19,-6849,4206,928,-91,-3997,-5690,159,-4062,-1344,1571,-779,7718,4889,-4303,happy
101,7,-5413,3896,-5775,-3112,-6047,2510,6805,-954,-482,-7677,6613,2224,2955,2825,happy
101,7,-5413,3896,-5775,-3112,-6047,2510,6805,-954,-482,-7677,6613,2224,2955,2825,happy
3,94,2368,-4939,5243,-5290,2314,1428,-861,2012,-6787,6503,-1610,6302,3724,3602,happy
3,94,2368,-4939,5243,-5290,2314,1428,-861,2012,-6787,6503,-1610,6302,3724,3602,happy
143,45,4928,-7924,-4159,2920,-252,-5018,-2961,-6532,-6541,2778,5588,-5437,2969,6923,happy
143,45,4928,-7924,-4159,2920,-252,-5018,-2961,-6532,-6541,2778,5588,-5437,2969,6923,happy
-104,13,5987,-6196,6426,-3265,7099,-3006,-4743,5522,-414,-3635,-4530,650,1907,1166,happy
-104,13,5987,-6196,6426,-3265,7099,-3006,-4743,5522,-414,-3635,-4530,650,1907,1166,happy
-46,-58,2520,-1492,6371,5734,7347,-4938,-2012,-6457,6334,-249,-4029,-7403,4261,4857,happy
-46,-58,2520,-1492,6371,5734,7347,-4938,-2012,-6457,6334,-249,-4029,-7403,4261,4857,happy
52,117,5310,-7087,-581,1126,1205,1604,4855,5676,-2702,-7166,-1793,-1971,4883,1573,happy
52,117,5310,-7087,-581,1126,1205,1604,4855,5676,-2702,-7166,-1793,-1971,4883,1573,happy
-6,72,-4286,-2271,-2407,-2731,2440,-1475,6427,915,2988,879,-820,-307,-3711,7203,happy
-6,72,-4286,-2271,-2407,-2731,2440,-1475,6427,915,2988,879,-820,-307,-3711,7203,happy
85,106,-6609,120,-3523,-721,-1119,-360,7361,-1819,7938,6267,5953,-7037,-5130,-4085,happy
85,106,-6609,120,-3523,-721,-1119,-360,7361,-1819,7938,6267,5953,-7037,-5130,-4085,happy
33,-99,4625,4401,2840,3908,5194,-3172,6861,4632,-2732,3332,-6195,-1374,4641,-1755,happy
33,-99,4625,4401,2840,3908,5194,-3172,6861,4632,-2732,3332,-6195,-1374,4641,-1755,happy
-80,133,-2474,7481,6020,6910,7475,-7203,-1457,7624,-5430,-1420,-4043,-6412,5156,-1244,happy
-80,133,-2474,7481,6020,6910,7475,-7203,-1457,7624,-5430,-1420,-4043,-6412,5156,-1244,happy
117,10,1090,7915,-1962,4717,-4034,-8089,-3420,8093,-3383,-5866,-5924,-1742,-3362,1423,happy
117,10,1090,7915,-1962,4717,-4034,-8089,-3420,8093,-3383,-5866,-5924,-1742,-3362,1423,happy
-63,107,966,1997,6039,3431,-7805,-7283,5332,-3291,-815,982,-3669,7093,-4865,5445,happy
-63,107,966,1997,6039,3431,-7805,-7283,5332,-3291,-815,982,-3669,7093,-4865,5445,happy
94,29,4184,4017,2720,-188,5847,-7566,-1889,3083,-4275,7863,4128,-1613,-8114,-4323,happy
