Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-17 12:34:57:934645
41,55,-6327,4191,4380,-980,-2719,-4573,1658,-7961,3626,-6694,-5855,469,6340,-1158,2018-10-17 12:35:00:323296
101,-13,-4202,-296,4008,-3514,7539,8,4490,-4035,2179,-3315,2161,-4100,3852,-2723,2018-10-17 12:35:03:020363
94,-95,4757,6025,4424,420,-2906,-5967,328,2702,-4276,-1060,1096,-8099,6182,4879,2018-10-17 12:35:05:796929
-57,-31,-6989,-3805,-3560,2331,4616,-916,2441,5588,1837,5372,4548,3686,-2635,4519,2018-10-17 12:35:08:502036
-89,101,-2659,4566,-626,7583,5813,-7717,422,-4773,-8087,2676,-5826,6533,7716,3155,2018-10-17 12:35:11:203481
132,135,1161,-517,-3196,6002,-161,-7278,-5250,7509,-7827,-1429,4652,-3246,1107,-1285,2018-10-17 12:35:13:941368
2,-26,3131,-4856,5802,-5462,-2222,-2395,1829,-2388,-3894,-1199,-6128,345,1770,2439,2018-10-17 12:35:16:635087
13,-76,3270,-6496,920,7086,8096,718,-3580,6988,3322,-6278,-194,-8124,7120,5979,2018-10-17 12:35:19:305221
37,-92,-4295,-5835,7364,-6161,-4334,5928,7355,-5608,1282,4843,-1302,6409,2388,-1898,2018-10-17 12:37:15:627384
74,-72,-6923,-271,-2234,-6009,-7611,6584,-4158,411,1591,1260,-3437,7846,-54,-338,2018-10-17 12:37:17:948021
81,143,-7567,-350,5786,7625,5137,-4249,-255,4202,3398,-4093,-3327,3358,-1414,-6418,2018-10-17 12:37:20:659098
141,-56,4602,5420,2180,2126,-6215,6031,-4125,-7348,-8107,364,555,-2752,-4961,7736,2018-10-17 12:37:23:369018
3,-1,-7712,3251,-7949,1437,4437,6811,-5674,-2169,2530,-345,5121,-5423,5664,-6339,2018-10-17 12:37:26:097817
-32,50,-3332,7370,-4383,1424,-5669,2710,-5515,-4055,5330,1925,6462,-4758,-5658,-6798,2018-10-17 12:37:28:865953
-26,-7,-4386,6663,-1934,-7712,4863,3906,-6870,6982,2337,-7743,7443,5636,1750,4071,2018-10-17 12:37:31:551760
138,109,517,123,7341,-3075,-5808,-1308,-1763,2461,-533,-2705,-1281,2826,1565,-4663,2018-10-17 12:37:59:226950
-5,-38,499,4837,-3782,-7223,-6616,4343,-6507,-2454,2333,4275,2177,938,-3476,-4290,2018-10-17 12:38:01:565068
-19,137,8169,-1872,2812,-3206,-2466,1316,4443,-5001,2497,3816,-606,-5601,-2574,7810,2018-10-17 12:38:04:310857
-30,-27,-4570,2432,-435,3200,-5036,-1128,1820,-2739,4507,-8110,720,3852,-5006,-6311,2018-10-17 12:38:07:038991
143,128,-377,455,-2660,-5238,255,5166,7926,1353,1352,-94,-1039,-3642,-4107,6894,2018-10-17 12:38:09:752006
-52,-22,-227,-2565,-6023,1734,6067,2081,3448,4100,2110,2725,-108,4363,3377,-4053,2018-10-17 12:38:12:508024
-67,-85,7083,4464,7640,5120,-4848,-7593,827,-2971,-2440,-799,-4103,2958,5846,-3924,2018-10-17 12:38:15:239243
14,125,1887,3379,-3373,-4564,-3643,-2614,-7965,-3696,2594,-3223,-4742,576,-4954,7635,2018-10-17 12:38:18:009999
-9,143,-5948,-5326,-7134,1577,-8175,-6758,5227,4842,7579,4557,-5540,-3386,4321,1363,2018-10-17 12:39:08:384609
-10,-93,-7175,-7839,6381,-811,6273,2055,-1689,188,8057,4096,5976,-2253,5393,-1654,2018-10-17 12:39:10:742956
-75,-88,-7458,6559,5110,-1705,874,-3661,-5950,4825,5021,-7883,-4591,-2183,-7530,-2765,2018-10-17 12:39:13:518508
81,5,-6658,5742,-6997,-6009,7207,1556,7522,4280,-2117,552,3895,4843,5036,2658,2018-10-17 12:39:16:245286
4,14,-1455,-7836,7536,3627,-5720,6355,77,-1369,-1676,-5233,-2394,5002,4083,-4085,2018-10-17 12:39:18:953415
136,-65,6692,-156,-2435,-547,2459,800,3409,5974,-2788,6588,-825,-3183,-5196,-4319,2018-10-17 12:39:21:682209
-82,75,-688,3590,43,-2498,2899,6479,-4100,2894,-2565,-6665,-6453,-3054,4576,4351,2018-10-17 12:39:24:408363
