Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,time
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:395923
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:401038
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:405792
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:410793
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:415596
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:421108
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:426111
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:430780
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:435683
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:440590
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:445526
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:450238
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:455218
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:460256
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:465173
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:470000
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:474876
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:479924
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:484988
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:489829
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:494750
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:499534
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:504308
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:508887
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:513590
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:518036
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:522628
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:528315
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:532886
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:537438
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:542897
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:548810
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:552996
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:557063
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:559620
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:562463
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:565547
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:568041
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:570214
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:572387
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:574796
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:577001
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:579296
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:581327
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:584064
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:585834
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:587487
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:589168
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:591067
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:592876
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:596188
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:597733
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:599349
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:600743
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:602110
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:603312
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:604614
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:605890
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:607155
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:608553
-90,63,-4737,-5872,-2318,-1899,-6527,7241,-808,-2213,-6467,-535,5271,-4342,-5999,-5216,2018-10-17 11:41:57:609820
