Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
3,86,-7412,-2672,1680,-3879,-7051,1904,2857,-6276,629,1552,5851,-7574,-3014,3326,test
