Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-96,-14,7243,-5035,-2947,2607,-3689,-3947,-4051,5986,-782,-1884,4428,3057,-957,-978,happy
-96,-14,7243,-5035,-2947,2607,-3689,-3947,-4051,5986,-782,-1884,4428,3057,-957,-978,happy
34,-46,-4929,5108,7179,3907,-1466,-4157,-7539,6572,91,-193,1607,-6356,-3297,-2881,happy
34,-46,-4929,5108,7179,3907,-1466,-4157,-7539,6572,91,-193,1607,-6356,-3297,-2881,happy
104,-9,2169,-5241,-4957,-1958,1171,-7229,6978,6331,-218,4893,-7556,-1562,-1947,-3218,happy
104,-9,2169,-5241,-4957,-1958,1171,-7229,6978,6331,-218,4893,-7556,-1562,-1947,-3218,happy
-100,-92,3993,3270,2668,5101,8024,-4978,-4874,-3650,3571,-7501,4387,-3305,-2466,5804,happy
-100,-92,3993,3270,2668,5101,8024,-4978,-4874,-3650,3571,-7501,4387,-3305,-2466,5804,happy
-48,43,-5261,-5255,-2255,-4655,2402,6085,-6617,-6761,3480,-1910,-1835,-2838,4009,-1949,happy
-48,43,-5261,-5255,-2255,-4655,2402,6085,-6617,-6761,3480,-1910,-1835,-2838,4009,-1949,happy
-34,-60,8080,8056,7732,-876,-1947,3604,-8107,407,-1795,-6721,2303,-2014,-5822,5666,happy
-34,-60,8080,8056,7732,-876,-1947,3604,-8107,407,-1795,-6721,2303,-2014,-5822,5666,happy
131,-21,-3027,-6260,3699,-6013,4897,7758,5652,-7727,-6760,3102,1956,-3042,-3013,-6364,happy
131,-21,-3027,-6260,3699,-6013,4897,7758,5652,-7727,-6760,3102,1956,-3042,-3013,-6364,happy
-53,29,2364,-4842,3347,-6977,4698,-7331,5338,-6284,-6927,7935,-310,8103,8098,-4204,happy
-53,29,2364,-4842,3347,-6977,4698,-7331,5338,-6284,-6927,7935,-310,8103,8098,-4204,happy
71,6,7437,-7916,-5720,-5708,-583,1275,2124,8045,-4920,7287,2581,6320,1890,3032,happy
71,6,7437,-7916,-5720,-5708,-583,1275,2124,8045,-4920,7287,2581,6320,1890,3032,happy
-100,-92,-7423,3270,-6448,5101,618,-4978,-4650,-3650,2478,-7501,4387,-3305,7726,-173,happy
-100,-92,-7423,3270,-6448,5101,618,-4978,-4650,-3650,2478,-7501,4387,-3305,7726,-173,happy
-6,73,5735,5738,-6782,-561,5275,-1469,4344,1745,-6277,1603,-3603,-4689,2220,-8078,happy
-6,73,5735,5738,-6782,-561,5275,-1469,4344,1745,-6277,1603,-3603,-4689,2220,-8078,happy
107,-27,4860,-7185,2487,-4139,5491,-776,-1775,-6560,-1589,3017,-2091,-442,5561,-4489,happy
107,-27,4860,-7185,2487,-4139,5491,-776,-1775,-6560,-1589,3017,-2091,-442,5561,-4489,happy
36,-24,5334,-2875,-1616,4024,980,-4991,3285,4351,3888,-3070,-6196,-1400,2761,1750,happy
36,-24,5334,-2875,-1616,4024,980,-4991,3285,4351,3888,-3070,-6196,-1400,2761,1750,happy
22,64,3631,3219,8125,-1790,-7958,-7610,-1304,91,-2021,4714,-8101,-5812,7080,7931,happy
22,64,3631,3219,8125,-1790,-7958,-7610,-1304,91,-2021,4714,-8101,-5812,7080,7931,happy
126,-75,-3976,1586,-2416,5718,6641,-6481,-1691,-720,-764,-7089,1487,2457,5338,5405,happy
126,-75,-3976,1586,-2416,5718,6641,-6481,-1691,-720,-764,-7089,1487,2457,5338,5405,happy
128,-25,5293,-2481,7014,-5294,-965,5797,2974,3769,2500,4916,3040,-1952,-4598,4485,happy
128,-25,5293,-2481,7014,-5294,-965,5797,2974,3769,2500,4916,3040,-1952,-4598,4485,happy
-82,-91,-1906,6827,-3660,4004,-3454,4180,-2251,-7028,472,-2091,-7706,4799,-4714,-1706,happy
-82,-91,-1906,6827,-3660,4004,-3454,4180,-2251,-7028,472,-2091,-7706,4799,-4714,-1706,happy
-9,-81,2762,7069,8001,-6147,-1804,-6892,8108,3056,196,2540,-6955,-994,4102,-4281,happy
-9,-81,2762,7069,8001,-6147,-1804,-6892,8108,3056,196,2540,-6955,-994,4102,-4281,happy
67,-16,-810,3053,-1172,-1417,-7726,1381,-3871,1093,-7499,-474,-6801,-6928,3122,6087,happy
67,-16,-810,3053,-1172,-1417,-7726,1381,-3871,1093,-7499,-474,-6801,-6928,3122,6087,happy
-14,-90,1567,1518,4336,8108,3240,-196,4552,-4311,-3226,3651,-5002,6924,-5208,-2462,happy
-14,-90,1567,1518,4336,8108,3240,-196,4552,-4311,-3226,3651,-5002,6924,-5208,-2462,happy
104,92,-5470,2471,4159,-8169,-3321,3714,-4201,-82,5037,6852,-2261,2875,-5879,1208,happy
